system,sigma,k,seed,avi_cardinality,avi_contains_true
circle,0.01,0.0,0,0,False
circle,0.01,0.0,1,0,False
circle,0.01,0.0,2,0,False
circle,0.01,0.0,3,0,False
circle,0.01,0.0,4,0,False
circle,0.01,0.0,5,0,False
circle,0.01,0.0,6,0,False
circle,0.01,0.0,7,0,False
circle,0.01,0.0,8,0,False
circle,0.01,0.0,9,0,False
circle,0.01,1.0,0,0,False
circle,0.01,1.0,1,0,False
circle,0.01,1.0,2,0,False
circle,0.01,1.0,3,0,False
circle,0.01,1.0,4,0,False
circle,0.01,1.0,5,0,False
circle,0.01,1.0,6,0,False
circle,0.01,1.0,7,0,False
circle,0.01,1.0,8,0,False
circle,0.01,1.0,9,0,False
circle,0.01,1.5,0,0,False
circle,0.01,1.5,1,0,False
circle,0.01,1.5,2,0,False
circle,0.01,1.5,3,0,False
circle,0.01,1.5,4,0,False
circle,0.01,1.5,5,0,False
circle,0.01,1.5,6,0,False
circle,0.01,1.5,7,0,False
circle,0.01,1.5,8,0,False
circle,0.01,1.5,9,0,False
circle,0.01,2.0,0,0,False
circle,0.01,2.0,1,0,False
circle,0.01,2.0,2,0,False
circle,0.01,2.0,3,0,False
circle,0.01,2.0,4,0,False
circle,0.01,2.0,5,0,False
circle,0.01,2.0,6,0,False
circle,0.01,2.0,7,0,False
circle,0.01,2.0,8,0,False
circle,0.01,2.0,9,0,False
circle,0.01,2.5,0,0,False
circle,0.01,2.5,1,0,False
circle,0.01,2.5,2,0,False
circle,0.01,2.5,3,0,False
circle,0.01,2.5,4,0,False
circle,0.01,2.5,5,0,False
circle,0.01,2.5,6,0,False
circle,0.01,2.5,7,0,False
circle,0.01,2.5,8,0,False
circle,0.01,2.5,9,0,False
circle,0.01,3.0,0,1,True
circle,0.01,3.0,1,1,True
circle,0.01,3.0,2,1,True
circle,0.01,3.0,3,1,True
circle,0.01,3.0,4,1,True
circle,0.01,3.0,5,1,True
circle,0.01,3.0,6,1,True
circle,0.01,3.0,7,1,True
circle,0.01,3.0,8,1,True
circle,0.01,3.0,9,1,True
circle,0.01,3.5,0,1,True
circle,0.01,3.5,1,1,True
circle,0.01,3.5,2,1,True
circle,0.01,3.5,3,1,True
circle,0.01,3.5,4,1,True
circle,0.01,3.5,5,1,True
circle,0.01,3.5,6,1,True
circle,0.01,3.5,7,1,True
circle,0.01,3.5,8,1,True
circle,0.01,3.5,9,1,True
circle,0.01,4.0,0,1,True
circle,0.01,4.0,1,1,True
circle,0.01,4.0,2,1,True
circle,0.01,4.0,3,1,True
circle,0.01,4.0,4,1,True
circle,0.01,4.0,5,1,True
circle,0.01,4.0,6,1,True
circle,0.01,4.0,7,1,True
circle,0.01,4.0,8,1,True
circle,0.01,4.0,9,1,True
circle,0.01,5.0,0,1,True
circle,0.01,5.0,1,1,True
circle,0.01,5.0,2,1,True
circle,0.01,5.0,3,1,True
circle,0.01,5.0,4,1,True
circle,0.01,5.0,5,1,True
circle,0.01,5.0,6,1,True
circle,0.01,5.0,7,1,True
circle,0.01,5.0,8,1,True
circle,0.01,5.0,9,1,True
circle,0.01,7.0,0,1,True
circle,0.01,7.0,1,1,True
circle,0.01,7.0,2,1,True
circle,0.01,7.0,3,1,True
circle,0.01,7.0,4,1,True
circle,0.01,7.0,5,1,True
circle,0.01,7.0,6,1,True
circle,0.01,7.0,7,1,True
circle,0.01,7.0,8,1,True
circle,0.01,7.0,9,1,True
circle,0.02,0.0,0,0,False
circle,0.02,0.0,1,0,False
circle,0.02,0.0,2,0,False
circle,0.02,0.0,3,0,False
circle,0.02,0.0,4,0,False
circle,0.02,0.0,5,0,False
circle,0.02,0.0,6,0,False
circle,0.02,0.0,7,0,False
circle,0.02,0.0,8,0,False
circle,0.02,0.0,9,0,False
circle,0.02,1.0,0,0,False
circle,0.02,1.0,1,0,False
circle,0.02,1.0,2,0,False
circle,0.02,1.0,3,0,False
circle,0.02,1.0,4,0,False
circle,0.02,1.0,5,0,False
circle,0.02,1.0,6,0,False
circle,0.02,1.0,7,0,False
circle,0.02,1.0,8,0,False
circle,0.02,1.0,9,0,False
circle,0.02,1.5,0,0,False
circle,0.02,1.5,1,0,False
circle,0.02,1.5,2,0,False
circle,0.02,1.5,3,0,False
circle,0.02,1.5,4,0,False
circle,0.02,1.5,5,0,False
circle,0.02,1.5,6,0,False
circle,0.02,1.5,7,0,False
circle,0.02,1.5,8,0,False
circle,0.02,1.5,9,0,False
circle,0.02,2.0,0,0,False
circle,0.02,2.0,1,0,False
circle,0.02,2.0,2,0,False
circle,0.02,2.0,3,0,False
circle,0.02,2.0,4,0,False
circle,0.02,2.0,5,0,False
