system,sigma,k,mean_cardinality,contains_true_k,n,contains_true_rate,ci_low,ci_high
circle,0.01,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.01,1.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.01,1.5,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.01,2.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.01,2.5,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.01,3.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.01,3.5,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.01,4.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.01,5.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.01,7.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.02,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.02,1.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.02,1.5,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.02,2.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.02,2.5,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.02,3.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.02,3.5,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.02,4.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.02,5.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.02,7.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.05,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.05,1.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.05,1.5,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.05,2.0,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.05,2.5,0.0,0,10,0.0,0.0,0.2775327998628892
circle,0.05,3.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.05,3.5,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.05,4.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.05,5.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
circle,0.05,7.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
harmonic_oscillator_2d,0.01,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,1.0,3.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,1.5,3.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,2.0,3.2,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,2.5,3.9,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,3.0,4.9,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,3.5,5.7,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,4.0,5.8,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,5.0,6.1,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.01,7.0,6.7,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,1.0,3.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,1.5,3.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,2.0,3.2,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,2.5,3.9,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,3.0,4.9,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,3.5,5.7,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,4.0,5.8,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,5.0,6.1,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.02,7.0,6.7,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,1.0,2.2,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,1.5,3.0,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,2.0,3.2,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,2.5,3.9,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,3.0,4.9,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,3.5,5.7,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,4.0,5.8,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,5.0,6.1,0,10,0.0,0.0,0.2775327998628892
harmonic_oscillator_2d,0.05,7.0,6.9,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,1.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,1.5,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,2.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,2.5,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,3.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.01,3.5,0.8,8,10,0.8,0.49016247153664183,0.9433178485456247
sphere,0.01,4.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.01,5.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.01,7.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.02,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.02,1.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.02,1.5,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.02,2.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.02,2.5,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.02,3.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.02,3.5,0.8,8,10,0.8,0.49016247153664183,0.9433178485456247
sphere,0.02,4.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.02,5.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.02,7.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.05,0.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.05,1.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.05,1.5,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.05,2.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.05,2.5,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.05,3.0,0.0,0,10,0.0,0.0,0.2775327998628892
sphere,0.05,3.5,0.9,9,10,0.9,0.5958499732047615,0.9821237869049271
sphere,0.05,4.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.05,5.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
sphere,0.05,7.0,1.0,10,10,1.0,0.7224672001371107,0.9999999999999999
