eps,seed,recovery,false_positive
0.01,0,True,False
0.01,1,True,False
0.01,2,True,False
0.01,3,True,False
0.01,4,True,False
0.01,5,True,False
0.01,6,True,False
0.01,7,True,False
0.01,8,True,False
0.01,9,True,False
0.01,10,True,False
0.01,11,True,False
0.01,12,True,False
0.01,13,True,False
0.01,14,True,False
0.01,15,True,False
0.01,16,True,False
0.01,17,True,False
0.01,18,True,False
0.01,19,True,False
0.01,20,True,False
0.01,21,True,False
0.01,22,True,False
0.01,23,True,False
0.01,24,True,False
0.01,25,True,False
0.01,26,True,False
0.01,27,True,False
0.01,28,True,False
0.01,29,True,False
0.001,0,True,False
0.001,1,True,False
0.001,2,True,False
0.001,3,True,False
0.001,4,True,False
0.001,5,True,False
0.001,6,True,False
0.001,7,True,False
0.001,8,True,False
0.001,9,True,False
0.001,10,True,False
0.001,11,True,False
0.001,12,True,False
0.001,13,True,False
0.001,14,True,False
0.001,15,True,False
0.001,16,True,False
0.001,17,True,False
0.001,18,True,False
0.001,19,True,False
0.001,20,True,False
0.001,21,True,False
0.001,22,True,False
0.001,23,True,False
0.001,24,True,False
0.001,25,True,False
0.001,26,True,False
0.001,27,True,False
0.001,28,True,False
0.001,29,True,False
0.0001,0,True,False
0.0001,1,True,False
0.0001,2,True,False
0.0001,3,True,False
0.0001,4,True,False
0.0001,5,True,False
0.0001,6,True,False
0.0001,7,True,False
0.0001,8,True,False
0.0001,9,True,False
0.0001,10,True,False
0.0001,11,True,False
0.0001,12,True,False
0.0001,13,True,False
0.0001,14,True,False
0.0001,15,True,False
0.0001,16,True,False
0.0001,17,True,False
0.0001,18,True,False
0.0001,19,True,False
0.0001,20,True,False
0.0001,21,True,False
0.0001,22,True,False
0.0001,23,True,False
0.0001,24,True,False
0.0001,25,True,False
0.0001,26,True,False
0.0001,27,True,False
0.0001,28,True,False
0.0001,29,True,False
1e-05,0,True,False
1e-05,1,True,False
1e-05,2,True,False
1e-05,3,True,False
1e-05,4,True,False
1e-05,5,True,False
1e-05,6,True,False
1e-05,7,True,False
1e-05,8,True,False
1e-05,9,True,False
1e-05,10,True,False
1e-05,11,True,False
1e-05,12,True,False
1e-05,13,True,False
1e-05,14,True,False
1e-05,15,True,False
1e-05,16,True,False
1e-05,17,True,False
1e-05,18,True,False
1e-05,19,True,False
1e-05,20,True,False
1e-05,21,True,False
1e-05,22,True,False
1e-05,23,True,False
1e-05,24,True,False
1e-05,25,True,False
1e-05,26,True,False
1e-05,27,True,False
1e-05,28,True,False
1e-05,29,True,False
