degree,seed,exact
1,0,False
1,1,False
1,2,False
1,3,False
1,4,False
1,5,False
1,6,False
1,7,False
1,8,False
1,9,False
1,10,False
1,11,False
1,12,False
1,13,False
1,14,False
1,15,False
1,16,False
1,17,False
1,18,False
1,19,False
1,20,False
1,21,False
1,22,False
1,23,False
1,24,False
1,25,False
1,26,False
1,27,False
1,28,False
1,29,False
2,0,True
2,1,True
2,2,True
2,3,True
2,4,True
2,5,True
2,6,True
2,7,True
2,8,True
2,9,True
2,10,True
2,11,True
2,12,True
2,13,True
2,14,True
2,15,True
2,16,True
2,17,True
2,18,True
2,19,True
2,20,True
2,21,True
2,22,True
2,23,True
2,24,True
2,25,True
2,26,True
2,27,True
2,28,True
2,29,True
3,0,True
3,1,True
3,2,True
3,3,True
3,4,True
3,5,True
3,6,True
3,7,True
3,8,True
3,9,True
3,10,True
3,11,True
3,12,True
3,13,True
3,14,True
3,15,True
3,16,True
3,17,True
3,18,True
3,19,True
3,20,True
3,21,True
3,22,True
3,23,True
3,24,True
3,25,True
3,26,True
3,27,True
3,28,True
3,29,True
4,0,True
4,1,True
4,2,True
4,3,True
4,4,True
4,5,True
4,6,True
4,7,True
4,8,True
4,9,True
4,10,True
4,11,True
4,12,True
4,13,True
4,14,True
4,15,True
4,16,True
4,17,True
4,18,True
4,19,True
4,20,True
4,21,True
4,22,True
4,23,True
4,24,True
4,25,True
4,26,True
4,27,True
4,28,True
4,29,True
