phi,sigma,seed,exact,n_generators,time
0.0,0.02,0,True,1,0.11465120315551758
0.0,0.02,1,True,1,0.008783102035522461
0.0,0.02,2,True,1,0.008200645446777344
0.0,0.02,3,True,1,0.01195836067199707
0.0,0.02,4,True,1,0.008046865463256836
0.0,0.02,5,True,1,0.008007287979125977
0.0,0.02,6,True,1,0.00791788101196289
0.0,0.02,7,True,1,0.008143901824951172
0.0,0.02,8,True,1,0.007776737213134766
0.0,0.02,9,True,1,0.007885217666625977
0.0,0.02,10,True,1,0.00836324691772461
0.0,0.02,11,True,1,0.00798797607421875
0.0,0.02,12,True,1,0.007792472839355469
0.0,0.02,13,True,1,0.008284330368041992
0.0,0.02,14,True,1,0.008352041244506836
0.0,0.02,15,True,1,0.007844209671020508
0.0,0.02,16,True,1,0.007924795150756836
0.0,0.02,17,True,1,0.007907629013061523
0.0,0.02,18,True,1,0.00765681266784668
0.0,0.02,19,True,1,0.007829666137695312
0.0,0.02,20,True,1,0.00783538818359375
0.0,0.02,21,True,1,0.007741212844848633
0.0,0.02,22,True,1,0.007798910140991211
0.0,0.02,23,True,1,0.011053323745727539
0.0,0.02,24,True,1,0.008018016815185547
0.0,0.02,25,True,1,0.007870912551879883
0.0,0.02,26,True,1,0.0078051090240478516
0.0,0.02,27,True,1,0.007709980010986328
0.0,0.02,28,True,1,0.007775306701660156
0.0,0.02,29,True,1,0.00755763053894043
0.0,0.05,0,True,1,0.007819414138793945
0.0,0.05,1,True,1,0.007813692092895508
0.0,0.05,2,True,1,0.007870197296142578
0.0,0.05,3,True,1,0.008003473281860352
0.0,0.05,4,True,1,0.007939338684082031
0.0,0.05,5,True,1,0.007787942886352539
0.0,0.05,6,True,1,0.007819652557373047
0.0,0.05,7,True,1,0.007588624954223633
0.0,0.05,8,True,1,0.00777745246887207
0.0,0.05,9,True,1,0.007827043533325195
0.0,0.05,10,True,1,0.007851839065551758
0.0,0.05,11,True,1,0.007764339447021484
0.0,0.05,12,True,1,0.008087873458862305
0.0,0.05,13,True,1,0.007787942886352539
0.0,0.05,14,True,1,0.00791311264038086
0.0,0.05,15,True,1,0.0076749324798583984
0.0,0.05,16,True,1,0.007863044738769531
0.0,0.05,17,True,1,0.0077686309814453125
0.0,0.05,18,True,1,0.00780487060546875
0.0,0.05,19,True,1,0.007685184478759766
0.0,0.05,20,True,1,0.007943391799926758
0.0,0.05,21,True,1,0.007756471633911133
0.0,0.05,22,True,1,0.007913827896118164
0.0,0.05,23,True,1,0.007753133773803711
0.0,0.05,24,True,1,0.007874488830566406
0.0,0.05,25,True,1,0.007700204849243164
0.0,0.05,26,True,1,0.008668184280395508
0.0,0.05,27,True,1,0.007821321487426758
0.0,0.05,28,True,1,0.009780406951904297
0.0,0.05,29,True,1,0.007914543151855469
0.0,0.1,0,True,1,0.00789785385131836
0.0,0.1,1,True,1,0.007725238800048828
0.0,0.1,2,True,1,0.007885456085205078
0.0,0.1,3,True,1,0.007795095443725586
0.0,0.1,4,True,1,0.007897138595581055
0.0,0.1,5,True,1,0.007904767990112305
0.0,0.1,6,True,1,0.007747173309326172
0.0,0.1,7,True,1,0.008027315139770508
0.0,0.1,8,True,1,0.007913589477539062
0.0,0.1,9,True,1,0.007747173309326172
0.0,0.1,10,True,1,0.007767677307128906
0.0,0.1,11,True,1,0.007844209671020508
0.0,0.1,12,True,1,0.007764577865600586
0.0,0.1,13,True,1,0.007716178894042969
0.0,0.1,14,True,1,0.007924079895019531
0.0,0.1,15,True,1,0.007651567459106445
0.0,0.1,16,True,1,0.007875204086303711
0.0,0.1,17,True,1,0.0077898502349853516
0.0,0.1,18,True,1,0.007907629013061523
0.0,0.1,19,True,1,0.00786733627319336
0.0,0.1,20,True,1,0.00780940055847168
0.0,0.1,21,True,1,0.007772207260131836
0.0,0.1,22,True,1,0.007781028747558594
0.0,0.1,23,True,1,0.007735490798950195
0.0,0.1,24,True,1,0.007852554321289062
0.0,0.1,25,True,1,0.007817983627319336
0.0,0.1,26,True,1,0.007897377014160156
0.0,0.1,27,True,1,0.00773167610168457
0.0,0.1,28,True,1,0.00782012939453125
0.0,0.1,29,True,1,0.007769346237182617
0.5,0.02,0,True,1,0.00781869888305664
0.5,0.02,1,True,1,0.007725238800048828
0.5,0.02,2,True,1,0.007731199264526367
0.5,0.02,3,True,1,0.007783412933349609
0.5,0.02,4,True,1,0.007869958877563477
0.5,0.02,5,True,1,0.0076351165771484375
0.5,0.02,6,True,1,0.007781982421875
0.5,0.02,7,True,1,0.007715463638305664
0.5,0.02,8,True,1,0.007787942886352539
0.5,0.02,9,True,1,0.0077970027923583984
0.5,0.02,10,True,1,0.007896184921264648
0.5,0.02,11,True,1,0.007872819900512695
0.5,0.02,12,True,1,0.008275032043457031
0.5,0.02,13,True,1,0.00789499282836914
0.5,0.02,14,True,1,0.007799863815307617
0.5,0.02,15,True,1,0.007696628570556641
0.5,0.02,16,True,1,0.007871389389038086
0.5,0.02,17,True,1,0.007794618606567383
0.5,0.02,18,True,1,0.007752418518066406
0.5,0.02,19,True,1,0.00763249397277832
0.5,0.02,20,True,1,0.007979869842529297
0.5,0.02,21,True,1,0.007719278335571289
0.5,0.02,22,True,1,0.007815837860107422
0.5,0.02,23,True,1,0.00825643539428711
0.5,0.02,24,True,1,0.007839441299438477
0.5,0.02,25,True,1,0.007801055908203125
0.5,0.02,26,True,1,0.010473489761352539
0.5,0.02,27,True,1,0.007802009582519531
0.5,0.02,28,True,1,0.007857561111450195
0.5,0.02,29,True,1,0.007638216018676758
0.5,0.05,0,True,1,0.007911920547485352
0.5,0.05,1,True,1,0.0077784061431884766
0.5,0.05,2,True,1,0.007880926132202148
0.5,0.05,3,True,1,0.007760047912597656
0.5,0.05,4,True,1,0.007955551147460938
0.5,0.05,5,True,1,0.00840306282043457
0.5,0.05,6,True,1,0.007906198501586914
