sub_system,k,sigma,seed,clean_recovery,n_generators
single_invariant,0.0,0.01,0,True,1
single_invariant,0.0,0.01,1,True,1
single_invariant,0.0,0.01,2,True,1
single_invariant,0.0,0.01,3,True,1
single_invariant,0.0,0.01,4,True,1
single_invariant,0.0,0.01,5,True,1
single_invariant,0.0,0.01,6,True,1
single_invariant,0.0,0.01,7,True,1
single_invariant,0.0,0.01,8,True,1
single_invariant,0.0,0.01,9,True,1
single_invariant,0.0,0.01,10,True,1
single_invariant,0.0,0.01,11,True,1
single_invariant,0.0,0.01,12,True,1
single_invariant,0.0,0.01,13,True,1
single_invariant,0.0,0.01,14,True,1
single_invariant,0.0,0.01,15,True,1
single_invariant,0.0,0.01,16,True,1
single_invariant,0.0,0.01,17,True,1
single_invariant,0.0,0.01,18,True,1
single_invariant,0.0,0.01,19,True,1
single_invariant,0.0,0.01,20,True,1
single_invariant,0.0,0.01,21,True,1
single_invariant,0.0,0.01,22,True,1
single_invariant,0.0,0.01,23,True,1
single_invariant,0.0,0.01,24,True,1
single_invariant,0.0,0.01,25,True,1
single_invariant,0.0,0.01,26,True,1
single_invariant,0.0,0.01,27,True,1
single_invariant,0.0,0.01,28,True,1
single_invariant,0.0,0.01,29,True,1
single_invariant,1.0,0.01,0,True,1
single_invariant,1.0,0.01,1,True,1
single_invariant,1.0,0.01,2,True,1
single_invariant,1.0,0.01,3,True,1
single_invariant,1.0,0.01,4,True,1
single_invariant,1.0,0.01,5,True,1
single_invariant,1.0,0.01,6,True,1
single_invariant,1.0,0.01,7,True,1
single_invariant,1.0,0.01,8,True,1
single_invariant,1.0,0.01,9,True,1
single_invariant,1.0,0.01,10,True,1
single_invariant,1.0,0.01,11,True,1
single_invariant,1.0,0.01,12,True,1
single_invariant,1.0,0.01,13,True,1
single_invariant,1.0,0.01,14,True,1
single_invariant,1.0,0.01,15,True,1
single_invariant,1.0,0.01,16,True,1
single_invariant,1.0,0.01,17,True,1
single_invariant,1.0,0.01,18,True,1
single_invariant,1.0,0.01,19,True,1
single_invariant,1.0,0.01,20,True,1
single_invariant,1.0,0.01,21,True,1
single_invariant,1.0,0.01,22,True,1
single_invariant,1.0,0.01,23,True,1
single_invariant,1.0,0.01,24,True,1
single_invariant,1.0,0.01,25,True,1
single_invariant,1.0,0.01,26,True,1
single_invariant,1.0,0.01,27,True,1
single_invariant,1.0,0.01,28,True,1
single_invariant,1.0,0.01,29,True,1
single_invariant,1.5,0.01,0,True,1
single_invariant,1.5,0.01,1,True,1
single_invariant,1.5,0.01,2,True,1
single_invariant,1.5,0.01,3,True,1
single_invariant,1.5,0.01,4,True,1
single_invariant,1.5,0.01,5,True,1
single_invariant,1.5,0.01,6,True,1
single_invariant,1.5,0.01,7,True,1
single_invariant,1.5,0.01,8,True,1
single_invariant,1.5,0.01,9,True,1
single_invariant,1.5,0.01,10,True,1
single_invariant,1.5,0.01,11,True,1
single_invariant,1.5,0.01,12,True,1
single_invariant,1.5,0.01,13,True,1
single_invariant,1.5,0.01,14,True,1
single_invariant,1.5,0.01,15,True,1
single_invariant,1.5,0.01,16,True,1
single_invariant,1.5,0.01,17,True,1
single_invariant,1.5,0.01,18,True,1
single_invariant,1.5,0.01,19,True,1
single_invariant,1.5,0.01,20,True,1
single_invariant,1.5,0.01,21,True,1
single_invariant,1.5,0.01,22,True,1
single_invariant,1.5,0.01,23,True,1
single_invariant,1.5,0.01,24,True,1
single_invariant,1.5,0.01,25,True,1
single_invariant,1.5,0.01,26,True,1
single_invariant,1.5,0.01,27,True,1
single_invariant,1.5,0.01,28,True,1
single_invariant,1.5,0.01,29,True,1
single_invariant,2.0,0.01,0,True,1
single_invariant,2.0,0.01,1,True,1
single_invariant,2.0,0.01,2,True,1
single_invariant,2.0,0.01,3,True,1
single_invariant,2.0,0.01,4,True,1
single_invariant,2.0,0.01,5,True,1
single_invariant,2.0,0.01,6,True,1
single_invariant,2.0,0.01,7,True,1
single_invariant,2.0,0.01,8,True,1
single_invariant,2.0,0.01,9,True,1
single_invariant,2.0,0.01,10,True,1
single_invariant,2.0,0.01,11,True,1
single_invariant,2.0,0.01,12,True,1
single_invariant,2.0,0.01,13,True,1
single_invariant,2.0,0.01,14,True,1
single_invariant,2.0,0.01,15,True,1
single_invariant,2.0,0.01,16,True,1
single_invariant,2.0,0.01,17,True,1
single_invariant,2.0,0.01,18,True,1
single_invariant,2.0,0.01,19,True,1
single_invariant,2.0,0.01,20,True,1
single_invariant,2.0,0.01,21,True,1
single_invariant,2.0,0.01,22,True,1
single_invariant,2.0,0.01,23,True,1
single_invariant,2.0,0.01,24,True,1
single_invariant,2.0,0.01,25,True,1
single_invariant,2.0,0.01,26,True,1
single_invariant,2.0,0.01,27,True,1
single_invariant,2.0,0.01,28,True,1
single_invariant,2.0,0.01,29,True,1
single_invariant,2.5,0.01,0,True,1
single_invariant,2.5,0.01,1,True,1
single_invariant,2.5,0.01,2,True,1
single_invariant,2.5,0.01,3,True,1
single_invariant,2.5,0.01,4,True,1
single_invariant,2.5,0.01,5,True,1
single_invariant,2.5,0.01,6,True,1
single_invariant,2.5,0.01,7,True,1
single_invariant,2.5,0.01,8,True,1
single_invariant,2.5,0.01,9,True,1
single_invariant,2.5,0.01,10,True,1
single_invariant,2.5,0.01,11,True,1
single_invariant,2.5,0.01,12,True,1
single_invariant,2.5,0.01,13,True,1
single_invariant,2.5,0.01,14,True,1
single_invariant,2.5,0.01,15,True,1
single_invariant,2.5,0.01,16,True,1
single_invariant,2.5,0.01,17,True,1
single_invariant,2.5,0.01,18,True,1
single_invariant,2.5,0.01,19,True,1
single_invariant,2.5,0.01,20,True,1
single_invariant,2.5,0.01,21,True,1
single_invariant,2.5,0.01,22,True,1
single_invariant,2.5,0.01,23,True,1
single_invariant,2.5,0.01,24,True,1
