sub_system,k,sigma,clean_rate,k_clean,n,mean_n_generators,max_n_generators,ci_low,ci_high
entangled_two_invariant,0.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,0.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,1.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,1.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,1.5,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,1.5,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,2.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,2.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,2.5,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,2.5,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,3.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,3.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,3.5,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,3.5,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,4.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,4.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,5.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,5.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
entangled_two_invariant,7.0,0.01,0.3,9,30,1.6666666666666667,2,0.16664748268243793,0.47875787458714947
entangled_two_invariant,7.0,0.02,0.4,12,30,1.8666666666666667,2,0.24590628116801852,0.5767963974667752
single_invariant,0.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,0.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,1.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,1.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,1.5,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,1.5,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,2.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,2.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,2.5,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,2.5,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,3.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,3.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,3.5,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,3.5,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,4.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,4.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,5.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,5.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,7.0,0.01,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
single_invariant,7.0,0.02,1.0,30,30,1.0,1,0.8864866068260312,0.9999999999999999
