k,sigma,misclassified,n,rescue_rate,ci_low,ci_high
0.0,0.01,0,120,1.0,0.9689808335812966,1.0
0.0,0.02,7,120,0.9416666666666667,0.8844740796636988,0.9714589899997798
0.0,0.05,9,120,0.925,0.8635908239400624,0.9600428846040397
0.0,0.1,40,120,0.6666666666666667,0.5783110162063498,0.7446825949874156
1.0,0.01,0,120,1.0,0.9689808335812966,1.0
1.0,0.02,7,120,0.9416666666666667,0.8844740796636988,0.9714589899997798
1.0,0.05,0,120,1.0,0.9689808335812966,1.0
1.0,0.1,11,120,0.9083333333333333,0.843291530273291,0.9480428171514347
1.5,0.01,0,120,1.0,0.9689808335812966,1.0
1.5,0.02,7,120,0.9416666666666667,0.8844740796636988,0.9714589899997798
1.5,0.05,0,120,1.0,0.9689808335812966,1.0
1.5,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
2.0,0.01,0,120,1.0,0.9689808335812966,1.0
2.0,0.02,7,120,0.9416666666666667,0.8844740796636988,0.9714589899997798
2.0,0.05,0,120,1.0,0.9689808335812966,1.0
2.0,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
2.5,0.01,0,120,1.0,0.9689808335812966,1.0
2.5,0.02,7,120,0.9416666666666667,0.8844740796636988,0.9714589899997798
2.5,0.05,0,120,1.0,0.9689808335812966,1.0
2.5,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
3.0,0.01,0,120,1.0,0.9689808335812966,1.0
3.0,0.02,1,120,0.9916666666666667,0.9543037087549505,0.998527444266658
3.0,0.05,0,120,1.0,0.9689808335812966,1.0
3.0,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
3.5,0.01,0,120,1.0,0.9689808335812966,1.0
3.5,0.02,0,120,1.0,0.9689808335812966,1.0
3.5,0.05,0,120,1.0,0.9689808335812966,1.0
3.5,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
4.0,0.01,0,120,1.0,0.9689808335812966,1.0
4.0,0.02,0,120,1.0,0.9689808335812966,1.0
4.0,0.05,0,120,1.0,0.9689808335812966,1.0
4.0,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
5.0,0.01,0,120,1.0,0.9689808335812966,1.0
5.0,0.02,0,120,1.0,0.9689808335812966,1.0
5.0,0.05,0,120,1.0,0.9689808335812966,1.0
5.0,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
7.0,0.01,0,120,1.0,0.9689808335812966,1.0
7.0,0.02,0,120,1.0,0.9689808335812966,1.0
7.0,0.05,0,120,1.0,0.9689808335812966,1.0
7.0,0.1,8,120,0.9333333333333333,0.8739486959646967,0.9658346931390938
