system,min_denom,qmax,rate,k,n,med_runtime_s,ci_low,ci_high
circle,1,2,1.0,30,30,0.0080590590005158,0.8864866068260312,1.0
circle,1,4,1.0,30,30,0.0079578029999538,0.8864866068260312,1.0
circle,1,8,1.0,30,30,0.0080645595007808,0.8864866068260312,1.0
circle,1,16,1.0,30,30,0.0081394215012551,0.8864866068260312,1.0
circle,1,32,1.0,30,30,0.0084495350001816,0.8864866068260312,1.0
circle,1,64,1.0,30,30,0.0091940329984936,0.8864866068260312,1.0
ellipse_131719,19,2,0.0,0,30,0.0055297279996011,0.0,0.1135133931739687
ellipse_131719,19,4,0.0,0,30,0.0055615399996895,0.0,0.1135133931739687
ellipse_131719,19,8,0.0,0,30,0.0057305464997625,0.0,0.1135133931739687
ellipse_131719,19,16,0.0,0,30,0.0059888554987992,0.0,0.1135133931739687
ellipse_131719,19,32,1.0,30,30,0.0357031184994411,0.8864866068260312,1.0
ellipse_131719,19,64,1.0,30,30,0.0377924470012658,0.8864866068260312,1.0
ellipse_171923,23,2,0.0,0,30,0.0055268629985221,0.0,0.1135133931739687
ellipse_171923,23,4,0.0,0,30,0.0055595884987269,0.0,0.1135133931739687
ellipse_171923,23,8,0.0,0,30,0.0057246944998041,0.0,0.1135133931739687
ellipse_171923,23,16,0.0,0,30,0.0060171229997649,0.0,0.1135133931739687
ellipse_171923,23,32,1.0,30,30,0.0359014985006069,0.8864866068260312,1.0
ellipse_171923,23,64,1.0,30,30,0.0377350134986045,0.8864866068260312,1.0
ellipse_357,7,2,0.0,0,30,0.0054634979987895,0.0,0.1135133931739687
ellipse_357,7,4,0.0,0,30,0.005487650498253,0.0,0.1135133931739687
ellipse_357,7,8,1.0,30,30,0.0339424659996439,0.8864866068260312,1.0
ellipse_357,7,16,1.0,30,30,0.0343930084982275,0.8864866068260312,1.0
ellipse_357,7,32,1.0,30,30,0.0357093255006475,0.8864866068260312,1.0
ellipse_357,7,64,1.0,30,30,0.0378250039993872,0.8864866068260312,1.0
ellipse_5711,11,2,0.0,0,30,0.0052228180011297,0.0,0.1135133931739687
ellipse_5711,11,4,0.0,0,30,0.0052280235013313,0.0,0.1135133931739687
ellipse_5711,11,8,0.0,0,30,0.0053661615002056,0.0,0.1135133931739687
ellipse_5711,11,16,1.0,30,30,0.0344149809989176,0.8864866068260312,1.0
ellipse_5711,11,32,1.0,30,30,0.0353221190016483,0.8864866068260312,1.0
ellipse_5711,11,64,1.0,30,30,0.0376924359989061,0.8864866068260312,1.0
ellipse_71113,13,2,0.0,0,30,0.005514057500477,0.0,0.1135133931739687
ellipse_71113,13,4,0.0,0,30,0.0056036125006357,0.0,0.1135133931739687
ellipse_71113,13,8,0.0,0,30,0.0056988745000126,0.0,0.1135133931739687
ellipse_71113,13,16,1.0,30,30,0.0346224029981385,0.8864866068260312,1.0
ellipse_71113,13,32,1.0,30,30,0.0355297490004886,0.8864866068260312,1.0
ellipse_71113,13,64,1.0,30,30,0.0375580254985834,0.8864866068260312,1.0
