dt,seed,sparsity_exact,rationality_exact
0.05,0,False,True
0.05,1,False,True
0.05,2,False,True
0.05,3,False,True
0.05,4,False,True
0.05,5,False,True
0.05,6,False,True
0.05,7,False,True
0.05,8,False,True
0.05,9,False,True
0.05,10,False,True
0.05,11,False,True
0.05,12,False,True
0.05,13,False,True
0.05,14,False,True
0.05,15,False,True
0.05,16,False,True
0.05,17,False,True
0.05,18,False,True
0.05,19,False,True
0.05,20,False,True
0.05,21,False,True
0.05,22,False,True
0.05,23,False,True
0.05,24,False,True
0.05,25,False,True
0.05,26,False,True
0.05,27,False,True
0.05,28,False,True
0.05,29,False,True
0.08,0,False,True
0.08,1,False,True
0.08,2,False,True
0.08,3,False,True
0.08,4,False,True
0.08,5,False,True
0.08,6,False,True
0.08,7,False,True
0.08,8,False,True
0.08,9,False,True
0.08,10,False,True
0.08,11,False,True
0.08,12,False,True
0.08,13,False,True
0.08,14,False,True
0.08,15,False,True
0.08,16,False,True
0.08,17,False,True
0.08,18,False,True
0.08,19,False,True
0.08,20,False,True
0.08,21,False,True
0.08,22,False,True
0.08,23,False,True
0.08,24,False,True
0.08,25,False,True
0.08,26,False,True
0.08,27,False,True
0.08,28,False,True
0.08,29,False,True
0.1,0,False,True
0.1,1,False,True
0.1,2,False,True
0.1,3,False,True
0.1,4,False,True
0.1,5,False,True
0.1,6,False,True
0.1,7,False,True
0.1,8,False,True
0.1,9,False,True
0.1,10,False,True
0.1,11,False,True
0.1,12,False,True
0.1,13,False,True
0.1,14,False,True
0.1,15,False,True
0.1,16,False,True
0.1,17,False,True
0.1,18,False,True
0.1,19,False,True
0.1,20,False,True
0.1,21,False,True
0.1,22,False,True
0.1,23,False,True
0.1,24,False,True
0.1,25,False,True
0.1,26,False,True
0.1,27,False,True
0.1,28,False,True
0.1,29,False,True
0.12,0,False,True
0.12,1,False,True
0.12,2,False,True
0.12,3,False,True
0.12,4,False,True
0.12,5,False,True
0.12,6,False,True
0.12,7,False,True
0.12,8,False,True
0.12,9,False,True
0.12,10,False,True
0.12,11,False,True
0.12,12,False,True
0.12,13,False,True
0.12,14,False,True
0.12,15,False,True
0.12,16,False,True
0.12,17,False,True
0.12,18,False,True
0.12,19,False,True
0.12,20,False,True
0.12,21,False,True
0.12,22,False,True
0.12,23,False,True
0.12,24,False,True
0.12,25,False,True
0.12,26,False,True
0.12,27,False,True
0.12,28,False,True
0.12,29,False,True
0.15,0,False,True
0.15,1,False,True
0.15,2,False,True
0.15,3,False,True
0.15,4,False,True
0.15,5,False,True
0.15,6,False,True
0.15,7,False,True
0.15,8,False,True
0.15,9,False,True
0.15,10,False,True
0.15,11,False,True
0.15,12,False,True
0.15,13,False,True
0.15,14,False,True
0.15,15,False,True
0.15,16,False,True
0.15,17,False,True
0.15,18,False,True
0.15,19,False,True
0.15,20,False,True
0.15,21,False,True
0.15,22,False,True
0.15,23,False,True
0.15,24,False,True
0.15,25,False,True
0.15,26,False,True
0.15,27,False,True
0.15,28,False,True
0.15,29,False,True
0.18,0,False,True
0.18,1,False,True
0.18,2,False,True
0.18,3,False,True
0.18,4,False,True
0.18,5,False,True
0.18,6,False,True
0.18,7,False,True
0.18,8,False,True
0.18,9,False,True
0.18,10,False,True
0.18,11,False,True
0.18,12,False,True
0.18,13,False,True
0.18,14,False,True
0.18,15,False,True
0.18,16,False,True
0.18,17,False,True
0.18,18,False,True
0.18,19,False,True
0.18,20,False,True
