exact,n_bb_calls,nodes_popped,nodes_evaluated,nodes_pruned_lb,nodes_pruned_dominance,nodes_not_pushed_lb,beam_ub_cost,final_ub_cost,system,sigma,seed
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,0
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,0
True,8,50758,50758,0,0,19656,,5.0,highd_sparse_rank2,0.0,0
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,1
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,1
True,8,50758,50758,0,0,19656,,5.0,highd_sparse_rank2,0.0,1
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,2
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,2
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.0,2
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,3
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,3
True,8,50758,50758,0,0,19656,,5.0,highd_sparse_rank2,0.0,3
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,4
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,4
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.0,4
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,5
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,5
True,8,50758,50758,0,0,19656,8.90689059560852,5.0,highd_sparse_rank2,0.0,5
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,6
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,6
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.0,6
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,7
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,7
True,8,50758,50758,0,0,19656,,5.0,highd_sparse_rank2,0.0,7
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,8
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,8
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.0,8
True,0,0,0,0,0,0,,,kepler_angular_momentum,0.0,9
True,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.0,9
True,8,50758,50758,0,0,19656,,5.0,highd_sparse_rank2,0.0,9
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,0
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,0
True,2,48316,48316,0,0,0,,5.0,highd_sparse_rank2,0.02,0
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,1
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,1
True,3,72474,72474,0,0,0,,5.0,highd_sparse_rank2,0.02,1
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,2
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,2
False,0,0,0,0,0,0,,,highd_sparse_rank2,0.02,2
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,3
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,3
True,3,72474,72474,0,0,0,,5.0,highd_sparse_rank2,0.02,3
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,4
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,4
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.02,4
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,5
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,5
True,2,48316,48316,0,0,0,,5.0,highd_sparse_rank2,0.02,5
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,6
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,6
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.02,6
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,7
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,7
True,2,48316,48316,0,0,0,,5.0,highd_sparse_rank2,0.02,7
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,8
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,8
False,1,29,29,0,0,378,1.0,1.0,highd_sparse_rank2,0.02,8
False,0,0,0,0,0,0,,,kepler_angular_momentum,0.02,9
False,0,0,0,0,0,0,,,harmonic_oscillator_2d,0.02,9
True,2,48316,48316,0,0,0,,5.0,highd_sparse_rank2,0.02,9
