seed,energy_recovered,ang_mom_recovered,energy_x_recovered,energy_y_recovered,cross_term_recovered,full_set_recovered,n_generators,sindy_null_energy_recovered,sindy_null_ang_mom_recovered,sindy_null_cross_recovered,sindy_null_full_set_recovered,sindy_null_n_candidates,rref_energy_recovered,rref_ang_mom_recovered,rref_cross_recovered,rref_full_set_recovered,rref_n_candidates,sindy_fd_energy_recovered,sindy_fd_ang_mom_recovered,sindy_fd_cross_recovered,sindy_fd_any_recovered,sindy_ad_energy_recovered,sindy_ad_ang_mom_recovered,sindy_ad_cross_recovered,sindy_ad_any_recovered,sindy_ad_timeout
0,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
1,True,True,True,True,True,True,4,False,False,True,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
2,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
3,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
4,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
5,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
6,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
7,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
8,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
9,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
10,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
11,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
12,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
13,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
14,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
15,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
16,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
17,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
18,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
19,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
20,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
21,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
22,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
23,True,True,True,True,True,True,4,False,False,False,False,1,True,True,True,True,4,False,False,False,False,False,False,False,False,False
24,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
25,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
26,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
27,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
28,True,True,True,True,True,True,4,False,False,False,False,2,True,True,True,True,4,False,False,False,False,False,False,False,False,False
29,True,True,True,True,True,True,4,False,False,False,False,0,True,True,True,True,4,False,False,False,False,False,False,False,False,False
