integrator,dt,sigma,Qdt_rate,H_rate,mean_generators,Qdt_ci_low,Qdt_ci_high
stormer_verlet,0.5,0.0,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
stormer_verlet,0.5,0.01,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
stormer_verlet,0.5,0.02,0.9333333333333333,0.0,1.0,0.7867654163738308,0.9815229762087295
stormer_verlet,0.5,0.05,0.0,0.9666666666666667,1.0,0.0,0.11351339317396876
stormer_verlet,1.0,0.0,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
stormer_verlet,1.0,0.01,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
stormer_verlet,1.0,0.02,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
stormer_verlet,1.0,0.05,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
symplectic_euler,0.1,0.0,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
symplectic_euler,0.1,0.01,0.0,0.0,0.0,0.0,0.11351339317396876
symplectic_euler,0.1,0.02,0.0,0.0,0.0,0.0,0.11351339317396876
symplectic_euler,0.1,0.05,0.0,0.0,0.0,0.0,0.11351339317396876
symplectic_euler,0.5,0.0,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
symplectic_euler,0.5,0.01,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
symplectic_euler,0.5,0.02,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
symplectic_euler,0.5,0.05,1.0,0.0,1.0,0.8864866068260312,0.9999999999999999
