integrator,dt,sigma,seed,exact_Qdt,exact_H,n_generators,Qdt,returned,time
symplectic_euler,0.1,0.0,0,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.025
symplectic_euler,0.1,0.0,1,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,2,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,3,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,4,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.013
symplectic_euler,0.1,0.0,5,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,6,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,7,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,8,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,9,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,10,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,11,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,12,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,13,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,14,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.013
symplectic_euler,0.1,0.0,15,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,16,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.012
symplectic_euler,0.1,0.0,17,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,18,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,19,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,20,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,21,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,22,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
symplectic_euler,0.1,0.0,23,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.014
symplectic_euler,0.1,0.0,24,True,False,1,v**2 - v*x/10 + x**2,10*v**2 - v*x + 10*x**2,0.011
