integrator,order,dt,seed,b_hat,c_hat,gap
symplectic_euler,1,0.001,0,-0.0009999999999972752,0.9999999999999983,0.0009999999999972752
symplectic_euler,1,0.001,1,-0.0010000000000019082,0.9999999999999978,0.0010000000000019082
symplectic_euler,1,0.001,2,-0.0010000000000000898,1.0000000000000013,0.0010000000000000898
symplectic_euler,1,0.001,3,-0.0010000000000015064,0.9999999999999983,0.0010000000000015064
symplectic_euler,1,0.001,4,-0.0010000000000023085,0.9999999999999999,0.0010000000000023085
symplectic_euler,1,0.001,5,-0.0009999999999992027,0.9999999999999999,0.0009999999999992027
symplectic_euler,1,0.001,6,-0.0010000000000012544,1.0000000000000002,0.0010000000000012544
symplectic_euler,1,0.001,7,-0.0010000000000000653,1.0000000000000004,0.0010000000000000653
symplectic_euler,1,0.001,8,-0.0010000000000021077,1.0000000000000009,0.0010000000000021077
symplectic_euler,1,0.001,9,-0.0009999999999985494,1.0000000000000009,0.0009999999999985494
symplectic_euler,1,0.001,10,-0.0009999999999978858,0.9999999999999972,0.0009999999999978858
symplectic_euler,1,0.001,11,-0.0009999999999994048,0.9999999999999991,0.0009999999999994048
symplectic_euler,1,0.001,12,-0.001000000000001488,1.0000000000000009,0.001000000000001488
symplectic_euler,1,0.001,13,-0.0010000000000031616,0.9999999999999999,0.0010000000000031616
symplectic_euler,1,0.001,14,-0.0010000000000032552,1.0000000000000013,0.0010000000000032552
symplectic_euler,1,0.001,15,-0.0010000000000027686,1.000000000000002,0.0010000000000027686
symplectic_euler,1,0.001,16,-0.0010000000000007826,0.9999999999999989,0.0010000000000007826
symplectic_euler,1,0.001,17,-0.00099999999999787,1.0,0.00099999999999787
symplectic_euler,1,0.001,18,-0.0009999999999987037,0.9999999999999997,0.0009999999999987037
symplectic_euler,1,0.001,19,-0.0010000000000010742,1.0000000000000042,0.0010000000000010742
symplectic_euler,1,0.001,20,-0.0010000000000011278,0.9999999999999998,0.0010000000000011278
symplectic_euler,1,0.001,21,-0.0009999999999976254,0.9999999999999998,0.0009999999999976254
symplectic_euler,1,0.001,22,-0.0009999999999951807,0.9999999999999949,0.0009999999999951807
symplectic_euler,1,0.001,23,-0.00100000000000057,0.9999999999999983,0.00100000000000057
symplectic_euler,1,0.001,24,-0.0010000000000029525,0.9999999999999986,0.0010000000000029525
symplectic_euler,1,0.001,25,-0.0009999999999987408,1.0000000000000007,0.0009999999999987408
symplectic_euler,1,0.001,26,-0.000999999999999902,0.999999999999999,0.000999999999999902
symplectic_euler,1,0.001,27,-0.0010000000000032418,1.0000000000000002,0.0010000000000032418
symplectic_euler,1,0.001,28,-0.0010000000000003717,0.9999999999999957,0.0010000000000003717
symplectic_euler,1,0.001,29,-0.001000000000001935,0.9999999999999988,0.001000000000001935
symplectic_euler,1,0.002,0,-0.0020000000000011944,1.0000000000000009,0.0020000000000011944
symplectic_euler,1,0.002,1,-0.002000000000002372,0.999999999999999,0.002000000000002372
symplectic_euler,1,0.002,2,-0.0019999999999995807,0.9999999999999991,0.0019999999999995807
symplectic_euler,1,0.002,3,-0.0020000000000017413,0.9999999999999989,0.0020000000000017413
symplectic_euler,1,0.002,4,-0.0020000000000004246,1.000000000000003,0.0020000000000004246
symplectic_euler,1,0.002,5,-0.001999999999998947,0.9999999999999993,0.001999999999998947
symplectic_euler,1,0.002,6,-0.001999999999999586,0.9999999999999994,0.001999999999999586
symplectic_euler,1,0.002,7,-0.002000000000001895,1.0000000000000002,0.002000000000001895
symplectic_euler,1,0.002,8,-0.0020000000000006688,0.9999999999999999,0.0020000000000006688
symplectic_euler,1,0.002,9,-0.001999999999998365,1.0000000000000009,0.001999999999998365
symplectic_euler,1,0.002,10,-0.0019999999999991453,1.0,0.0019999999999991453
symplectic_euler,1,0.002,11,-0.0019999999999989393,0.999999999999999,0.0019999999999989393
symplectic_euler,1,0.002,12,-0.001999999999998473,0.9999999999999998,0.001999999999998473
symplectic_euler,1,0.002,13,-0.0020000000000011805,0.9999999999999998,0.0020000000000011805
symplectic_euler,1,0.002,14,-0.0020000000000011476,0.9999999999999998,0.0020000000000011476
symplectic_euler,1,0.002,15,-0.001999999999999354,0.9999999999999988,0.001999999999999354
symplectic_euler,1,0.002,16,-0.001999999999998749,0.999999999999999,0.001999999999998749
symplectic_euler,1,0.002,17,-0.0020000000000013787,0.9999999999999999,0.0020000000000013787
symplectic_euler,1,0.002,18,-0.0019999999999989445,0.9999999999999973,0.0019999999999989445
symplectic_euler,1,0.002,19,-0.0019999999999986318,0.9999999999999992,0.0019999999999986318
symplectic_euler,1,0.002,20,-0.0019999999999990364,0.999999999999999,0.0019999999999990364
symplectic_euler,1,0.002,21,-0.0019999999999978516,0.9999999999999987,0.0019999999999978516
symplectic_euler,1,0.002,22,-0.001999999999999142,0.9999999999999993,0.001999999999999142
symplectic_euler,1,0.002,23,-0.0020000000000005794,1.0000000000000002,0.0020000000000005794
symplectic_euler,1,0.002,24,-0.002000000000000609,0.9999999999999981,0.002000000000000609
symplectic_euler,1,0.002,25,-0.0020000000000004138,0.999999999999999,0.0020000000000004138
symplectic_euler,1,0.002,26,-0.002000000000001267,1.0,0.002000000000001267
symplectic_euler,1,0.002,27,-0.0020000000000008774,1.0000000000000002,0.0020000000000008774
symplectic_euler,1,0.002,28,-0.001999999999999074,1.0000000000000004,0.001999999999999074
symplectic_euler,1,0.002,29,-0.001999999999999582,1.0000000000000009,0.001999999999999582
symplectic_euler,1,0.005,0,-0.004999999999999745,1.0000000000000004,0.004999999999999745
symplectic_euler,1,0.005,1,-0.0050000000000001215,1.0000000000000004,0.0050000000000001215
symplectic_euler,1,0.005,2,-0.005000000000000504,0.9999999999999993,0.005000000000000504
symplectic_euler,1,0.005,3,-0.00500000000000044,0.9999999999999999,0.00500000000000044
symplectic_euler,1,0.005,4,-0.005000000000000704,1.0,0.005000000000000704
symplectic_euler,1,0.005,5,-0.004999999999999765,0.9999999999999999,0.004999999999999765
symplectic_euler,1,0.005,6,-0.005000000000000443,0.9999999999999994,0.005000000000000443
symplectic_euler,1,0.005,7,-0.004999999999999146,1.0,0.004999999999999146
symplectic_euler,1,0.005,8,-0.005000000000000079,1.0,0.005000000000000079
symplectic_euler,1,0.005,9,-0.0049999999999996315,0.9999999999999991,0.0049999999999996315
symplectic_euler,1,0.005,10,-0.004999999999999639,1.0000000000000007,0.004999999999999639
symplectic_euler,1,0.005,11,-0.00499999999999965,0.9999999999999996,0.00499999999999965
symplectic_euler,1,0.005,12,-0.0050000000000005535,1.0000000000000002,0.0050000000000005535
symplectic_euler,1,0.005,13,-0.005000000000000342,0.9999999999999999,0.005000000000000342
symplectic_euler,1,0.005,14,-0.00500000000000058,0.9999999999999997,0.00500000000000058
symplectic_euler,1,0.005,15,-0.005000000000000151,1.0000000000000002,0.005000000000000151
symplectic_euler,1,0.005,16,-0.005000000000000421,1.0,0.005000000000000421
symplectic_euler,1,0.005,17,-0.004999999999999588,0.9999999999999999,0.004999999999999588
symplectic_euler,1,0.005,18,-0.004999999999999557,0.9999999999999993,0.004999999999999557
symplectic_euler,1,0.005,19,-0.00499999999999887,1.0000000000000002,0.00499999999999887
symplectic_euler,1,0.005,20,-0.005000000000000005,1.0,0.005000000000000005
symplectic_euler,1,0.005,21,-0.005000000000000436,0.9999999999999997,0.005000000000000436
symplectic_euler,1,0.005,22,-0.004999999999999395,0.9999999999999999,0.004999999999999395
symplectic_euler,1,0.005,23,-0.005000000000000153,0.9999999999999997,0.005000000000000153
symplectic_euler,1,0.005,24,-0.0049999999999997165,1.0000000000000002,0.0049999999999997165
symplectic_euler,1,0.005,25,-0.004999999999999479,1.0000000000000004,0.004999999999999479
symplectic_euler,1,0.005,26,-0.004999999999999827,0.9999999999999998,0.004999999999999827
symplectic_euler,1,0.005,27,-0.005000000000000041,0.9999999999999993,0.005000000000000041
symplectic_euler,1,0.005,28,-0.004999999999999367,1.0,0.004999999999999367
