integrator,order,dt,gap
stormer_verlet,2,0.001,2.5000006279955283e-07
stormer_verlet,2,0.002,1.0000010000880503e-06
stormer_verlet,2,0.005,6.2500390627680724e-06
stormer_verlet,2,0.01,2.5000625015692e-05
stormer_verlet,2,0.02,0.00010001000100015033
stormer_verlet,2,0.05,0.0006253908692932964
stormer_verlet,2,0.1,0.0025062656641604343
stormer_verlet,2,0.2,0.010101010101010085
symplectic_euler,1,0.001,0.0010000000000004103
symplectic_euler,1,0.002,0.001999999999999972
symplectic_euler,1,0.005,0.004999999999999951
symplectic_euler,1,0.01,0.010000000000000014
symplectic_euler,1,0.02,0.019999999999999966
symplectic_euler,1,0.05,0.05
symplectic_euler,1,0.1,0.09999999999999996
symplectic_euler,1,0.2,0.20000000000000007
