integrator,order,dt,range,has_exact_invariant,gap
symplectic_euler,1.0,0.01,full,True,0.01
symplectic_euler,1.0,0.02,full,True,0.02
symplectic_euler,1.0,0.05,full,True,0.05
symplectic_euler,1.0,0.1,full,True,0.1
symplectic_euler,1.0,0.2,full,True,0.2
stormer_verlet,2.0,0.01,full,True,2.5000625015758615e-05
stormer_verlet,2.0,0.02,full,True,0.00010001000100001711
stormer_verlet,2.0,0.05,full,True,0.0006253908692932519
stormer_verlet,2.0,0.1,full,True,0.0025062656641603454
stormer_verlet,2.0,0.2,full,True,0.010101010101010166
explicit_euler,,0.01,full,False,
explicit_euler,,0.02,full,False,
explicit_euler,,0.05,full,False,
explicit_euler,,0.1,full,False,
explicit_euler,,0.2,full,False,
explicit_rk2,,0.01,full,False,
explicit_rk2,,0.02,full,False,
explicit_rk2,,0.05,full,False,
explicit_rk2,,0.1,full,False,
explicit_rk2,,0.2,full,False,
symplectic_euler,1.0,0.001,leading_order,True,0.001
symplectic_euler,1.0,0.002,leading_order,True,0.002
symplectic_euler,1.0,0.005,leading_order,True,0.005
symplectic_euler,1.0,0.01,leading_order,True,0.01
symplectic_euler,1.0,0.02,leading_order,True,0.02
stormer_verlet,2.0,0.001,leading_order,True,2.500000624294785e-07
stormer_verlet,2.0,0.002,leading_order,True,1.000001000006634e-06
stormer_verlet,2.0,0.005,leading_order,True,6.250039062738466e-06
stormer_verlet,2.0,0.01,leading_order,True,2.5000625015758615e-05
stormer_verlet,2.0,0.02,leading_order,True,0.00010001000100001711
explicit_euler,,0.001,leading_order,False,
explicit_euler,,0.002,leading_order,False,
explicit_euler,,0.005,leading_order,False,
explicit_euler,,0.01,leading_order,False,
explicit_euler,,0.02,leading_order,False,
explicit_rk2,,0.001,leading_order,False,
explicit_rk2,,0.002,leading_order,False,
explicit_rk2,,0.005,leading_order,False,
explicit_rk2,,0.01,leading_order,False,
explicit_rk2,,0.02,leading_order,False,
