name,sigma,srgb_rate,srgb_red,null_rate,null_red,sindy_st_rate,sindy_st_red,runtime
I.12.2,0.0,1.0,1.0,1.0,1.0,1.0,54.6,634.935
I.12.2,0.02,0.0,1.0,0.0,1.0,0.0,55.0,14.402
I.12.2,0.05,0.0,1.0,0.0,1.0,0.0,55.167,14.774
I.13.4,0.0,1.0,1.0,1.0,1.0,1.0,18.833,0.41
I.13.4,0.02,1.0,1.0,0.0,1.0,0.0,19.667,4.346
I.13.4,0.05,1.0,1.0,0.0,0.067,0.0,19.9,3.48
I.14.3,0.0,1.0,1.0,1.0,1.0,1.0,34.0,0.576
I.14.3,0.02,0.0,0.067,0.0,0.0,0.0,35.0,6.352
I.14.3,0.05,0.0,1.0,0.0,0.133,0.0,35.0,5.921
I.34.27,0.0,1.0,1.0,1.0,1.0,1.0,9.0,0.168
I.34.27,0.02,1.0,1.0,0.167,1.433,1.0,10.0,1.155
I.34.27,0.05,1.0,1.0,0.0,0.2,0.0,10.0,1.445
I.39.22,0.0,1.0,1.0,1.0,1.0,1.0,14.0,1.24
I.39.22,0.02,1.0,1.0,0.0,0.0,0.0,15.0,9.757
I.39.22,0.05,0.867,1.0,0.0,0.0,0.0,15.0,4.724
I.43.31,0.0,1.0,1.0,1.0,1.0,1.0,33.967,0.74
I.43.31,0.02,0.0,1.0,0.0,0.0,0.0,35.0,7.508
I.43.31,0.05,0.0,1.0,0.0,0.0,0.0,34.967,7.285
I.8.14,0.0,1.0,1.0,1.0,1.0,1.0,15.0,2.984
I.8.14,0.02,1.0,1.0,0.7,1.0,1.0,16.0,2.656
I.8.14,0.05,1.0,1.0,0.0,0.633,0.533,20.033,4.357
algebraic_cubic_toy,0.0,1.0,1.0,1.0,1.0,1.0,3.367,0.405
algebraic_cubic_toy,0.02,1.0,1.0,0.0,1.0,0.0,9.667,2.399
algebraic_cubic_toy,0.05,0.0,1.0,0.0,1.0,0.0,9.867,1.922
angular_momentum_2d,0.0,1.0,1.0,1.0,1.0,1.0,19.0,0.593
angular_momentum_2d,0.02,1.0,1.0,1.0,1.0,1.0,19.0,0.824
angular_momentum_2d,0.05,1.0,1.0,1.0,1.0,1.0,19.0,0.806
centripetal_force,0.0,1.0,1.0,1.0,1.0,1.0,33.8,1.188
