name,sigma,degree,n_seeds,t_srgb,t_sindy_null,t_sindy_st,t_total,srgb_exact_rate
I.12.2,0.0,3,30,0.119,0.019,1.595,1.733,1.0
I.12.2,0.02,3,30,1.31,0.034,1.585,2.929,0.0
I.12.2,0.05,3,30,1.604,0.024,1.74,3.369,0.0
I.13.4,0.0,3,30,0.092,0.005,0.127,0.223,1.0
I.13.4,0.02,3,30,1.124,0.015,0.125,1.263,1.0
I.13.4,0.05,3,30,1.285,0.081,0.123,1.489,1.0
I.14.3,0.0,3,30,0.119,0.01,0.516,0.645,1.0
I.14.3,0.02,3,30,0.976,1.03,0.485,2.491,0.0
I.14.3,0.05,3,30,0.979,0.814,0.492,2.285,0.0
I.34.27,0.0,2,30,0.014,0.002,0.021,0.036,1.0
I.34.27,0.02,2,30,0.066,0.062,0.027,0.155,1.0
I.34.27,0.05,2,30,0.041,0.186,0.026,0.253,1.0
I.39.22,0.0,2,30,0.026,0.003,0.086,0.115,1.0
I.39.22,0.02,2,30,0.404,0.332,0.105,0.84,1.0
I.39.22,0.05,2,30,1.037,0.336,0.103,1.476,0.867
I.43.31,0.0,3,30,0.115,0.011,0.695,0.821,1.0
I.43.31,0.02,3,30,1.289,1.01,0.656,2.955,0.0
I.43.31,0.05,3,30,0.939,0.981,0.653,2.572,0.0
I.8.14,0.0,2,30,0.143,0.005,0.113,0.26,1.0
I.8.14,0.02,2,30,0.695,0.016,0.145,0.856,1.0
I.8.14,0.05,2,30,0.534,0.063,0.132,0.73,1.0
algebraic_cubic_toy,0.0,3,30,0.068,0.002,0.022,0.092,1.0
algebraic_cubic_toy,0.02,3,30,0.905,0.004,0.034,0.944,1.0
algebraic_cubic_toy,0.05,3,30,0.397,0.005,0.036,0.438,0.0
angular_momentum_2d,0.0,2,30,0.037,0.007,0.131,0.175,1.0
angular_momentum_2d,0.02,2,30,0.038,0.006,0.153,0.196,1.0
angular_momentum_2d,0.05,2,30,0.038,0.007,0.15,0.195,1.0
centripetal_force,0.0,3,30,0.112,0.011,0.626,0.749,1.0
centripetal_force,0.02,3,30,1.037,0.023,0.613,1.673,0.0
centripetal_force,0.05,3,30,0.837,0.024,0.596,1.457,0.0
charge_force_toy,0.0,3,30,0.124,0.011,0.516,0.651,1.0
charge_force_toy,0.02,3,30,0.367,0.272,0.525,1.164,1.0
charge_force_toy,0.05,3,30,1.352,0.141,0.503,1.996,0.0
circle_locus,0.0,2,30,0.018,0.002,0.018,0.038,1.0
circle_locus,0.02,2,30,0.041,0.002,0.022,0.066,1.0
circle_locus,0.05,2,30,0.065,0.097,0.024,0.186,1.0
distance_3d,0.0,2,30,0.028,0.004,0.043,0.075,1.0
distance_3d,0.02,2,30,0.044,0.004,0.053,0.101,1.0
distance_3d,0.05,2,30,0.093,0.094,0.054,0.241,1.0
frequency_shift_linear,0.0,2,30,0.018,0.002,0.026,0.047,1.0
frequency_shift_linear,0.02,2,30,0.263,0.063,0.038,0.364,1.0
frequency_shift_linear,0.05,2,30,0.417,0.062,0.038,0.517,1.0
gravitational_pe_orbit,0.0,3,30,0.108,0.019,2.673,2.8,1.0
gravitational_pe_orbit,0.02,3,30,2.016,1.743,2.895,6.655,0.0
gravitational_pe_orbit,0.05,3,30,1.428,1.78,2.686,5.894,0.0
kinematics_position,0.0,3,30,0.192,0.009,0.654,0.855,1.0
kinematics_position,0.02,3,30,6.295,0.22,0.52,7.035,1.0
kinematics_position,0.05,3,30,0.937,0.06,0.552,1.55,0.0
kinetic_energy_scaled,0.0,3,30,0.068,0.004,0.104,0.175,1.0
kinetic_energy_scaled,0.02,3,30,1.124,0.013,0.127,1.264,1.0
kinetic_energy_scaled,0.05,3,30,1.298,0.078,0.125,1.501,1.0
momentum_conservation_1d,0.0,2,30,0.027,0.003,0.123,0.154,1.0
momentum_conservation_1d,0.02,2,30,0.091,0.011,0.147,0.249,1.0
momentum_conservation_1d,0.05,2,30,0.447,0.019,0.147,0.612,0.667
momentum_definition,0.0,2,30,0.016,0.002,0.022,0.04,1.0
momentum_definition,0.02,2,30,0.016,0.002,0.025,0.043,1.0
momentum_definition,0.05,2,30,0.016,0.104,0.025,0.146,1.0
newtons_second_law,0.0,2,30,0.015,0.002,0.019,0.036,1.0
