name,sigma,degree,seed,t_srgb,t_sindy_null,t_sindy_st,t_total,srgb_exact
I.8.14,0.0,2,0,0.141,0.005,0.135,0.282,True
I.8.14,0.0,2,1,0.13,0.005,0.107,0.242,True
I.8.14,0.0,2,2,0.139,0.005,0.104,0.248,True
I.8.14,0.0,2,3,0.143,0.005,0.105,0.253,True
I.8.14,0.0,2,4,0.148,0.005,0.097,0.249,True
I.8.14,0.0,2,5,0.159,0.005,0.105,0.269,True
I.8.14,0.0,2,6,0.141,0.005,0.101,0.247,True
I.8.14,0.0,2,7,0.151,0.005,0.108,0.263,True
I.8.14,0.0,2,8,0.145,0.005,0.104,0.254,True
I.8.14,0.0,2,9,0.144,0.004,0.11,0.258,True
I.8.14,0.0,2,10,0.138,0.005,0.091,0.234,True
I.8.14,0.0,2,11,0.149,0.005,0.102,0.256,True
I.8.14,0.0,2,12,0.14,0.005,0.095,0.24,True
I.8.14,0.0,2,13,0.131,0.005,0.142,0.278,True
I.8.14,0.0,2,14,0.147,0.004,0.107,0.258,True
I.8.14,0.0,2,15,0.14,0.005,0.128,0.273,True
I.8.14,0.0,2,16,0.135,0.005,0.105,0.244,True
I.8.14,0.0,2,17,0.154,0.005,0.129,0.288,True
I.8.14,0.0,2,18,0.134,0.005,0.128,0.267,True
I.8.14,0.0,2,19,0.145,0.004,0.107,0.257,True
I.8.14,0.0,2,20,0.142,0.005,0.125,0.272,True
I.8.14,0.0,2,21,0.137,0.005,0.125,0.267,True
I.8.14,0.0,2,22,0.147,0.005,0.142,0.294,True
I.8.14,0.0,2,23,0.143,0.005,0.092,0.24,True
I.8.14,0.0,2,24,0.139,0.005,0.13,0.274,True
I.8.14,0.0,2,25,0.143,0.005,0.125,0.273,True
I.8.14,0.0,2,26,0.155,0.005,0.098,0.259,True
I.8.14,0.0,2,27,0.142,0.005,0.124,0.271,True
I.8.14,0.0,2,28,0.144,0.007,0.118,0.269,True
I.8.14,0.0,2,29,0.139,0.005,0.089,0.232,True
I.8.14,0.02,2,0,0.73,0.012,0.138,0.879,True
I.8.14,0.02,2,1,0.723,0.019,0.127,0.869,True
I.8.14,0.02,2,2,0.677,0.03,0.128,0.834,True
I.8.14,0.02,2,3,0.714,0.015,0.112,0.84,True
I.8.14,0.02,2,4,0.684,0.015,0.1,0.799,True
I.8.14,0.02,2,5,0.71,0.004,0.179,0.893,True
I.8.14,0.02,2,6,0.734,0.016,0.132,0.882,True
I.8.14,0.02,2,7,0.663,0.018,0.133,0.814,True
I.8.14,0.02,2,8,0.702,0.022,0.135,0.86,True
I.8.14,0.02,2,9,0.752,0.011,0.155,0.918,True
I.8.14,0.02,2,10,0.729,0.015,0.164,0.909,True
I.8.14,0.02,2,11,0.762,0.012,0.152,0.926,True
I.8.14,0.02,2,12,0.597,0.018,0.13,0.745,True
I.8.14,0.02,2,13,0.563,0.013,0.132,0.708,True
I.8.14,0.02,2,14,0.694,0.015,0.145,0.853,True
I.8.14,0.02,2,15,0.7,0.017,0.175,0.892,True
I.8.14,0.02,2,16,0.692,0.029,0.156,0.877,True
I.8.14,0.02,2,17,0.707,0.011,0.155,0.873,True
I.8.14,0.02,2,18,0.65,0.018,0.16,0.828,True
I.8.14,0.02,2,19,0.756,0.02,0.153,0.929,True
I.8.14,0.02,2,20,0.774,0.011,0.158,0.943,True
I.8.14,0.02,2,21,0.733,0.024,0.149,0.906,True
I.8.14,0.02,2,22,0.64,0.008,0.159,0.807,True
I.8.14,0.02,2,23,0.732,0.021,0.139,0.892,True
I.8.14,0.02,2,24,0.638,0.012,0.13,0.78,True
I.8.14,0.02,2,25,0.686,0.015,0.173,0.874,True
I.8.14,0.02,2,26,0.682,0.019,0.149,0.851,True
I.8.14,0.02,2,27,0.66,0.011,0.14,0.81,True
I.8.14,0.02,2,28,0.717,0.014,0.151,0.882,True
I.8.14,0.02,2,29,0.651,0.018,0.135,0.804,True
I.8.14,0.05,2,0,0.486,0.012,0.166,0.664,True
I.8.14,0.05,2,1,0.555,0.016,0.17,0.742,True
I.8.14,0.05,2,2,0.537,0.563,0.136,1.237,True
I.8.14,0.05,2,3,0.58,0.108,0.163,0.852,True
I.8.14,0.05,2,4,0.543,0.103,0.147,0.793,True
I.8.14,0.05,2,5,0.538,0.066,0.133,0.738,True
I.8.14,0.05,2,6,0.477,0.033,0.103,0.614,True
I.8.14,0.05,2,7,0.513,0.018,0.141,0.672,True
I.8.14,0.05,2,8,0.542,0.017,0.134,0.693,True
I.8.14,0.05,2,9,0.547,0.022,0.107,0.677,True
I.8.14,0.05,2,10,0.559,0.089,0.166,0.813,True
I.8.14,0.05,2,11,0.536,0.01,0.131,0.677,True
I.8.14,0.05,2,12,0.528,0.019,0.119,0.665,True
I.8.14,0.05,2,13,0.491,0.012,0.142,0.646,True
I.8.14,0.05,2,14,0.543,0.015,0.124,0.682,True
I.8.14,0.05,2,15,0.504,0.099,0.127,0.731,True
I.8.14,0.05,2,16,0.64,0.112,0.123,0.875,True
I.8.14,0.05,2,17,0.578,0.118,0.1,0.795,True
I.8.14,0.05,2,18,0.528,0.102,0.125,0.754,True
I.8.14,0.05,2,19,0.506,0.019,0.125,0.65,True
I.8.14,0.05,2,20,0.496,0.014,0.094,0.603,True
I.8.14,0.05,2,21,0.507,0.015,0.113,0.635,True
I.8.14,0.05,2,22,0.521,0.016,0.125,0.662,True
I.8.14,0.05,2,23,0.479,0.019,0.143,0.641,True
I.8.14,0.05,2,24,0.502,0.018,0.121,0.641,True
I.8.14,0.05,2,25,0.557,0.078,0.167,0.802,True
I.8.14,0.05,2,26,0.574,0.022,0.122,0.718,True
I.8.14,0.05,2,27,0.508,0.016,0.152,0.676,True
I.8.14,0.05,2,28,0.564,0.13,0.125,0.82,True
I.8.14,0.05,2,29,0.594,0.009,0.126,0.728,True
circle_locus,0.0,2,0,0.024,0.002,0.021,0.048,True
circle_locus,0.0,2,1,0.021,0.002,0.01,0.032,True
circle_locus,0.0,2,2,0.023,0.002,0.024,0.05,True
circle_locus,0.0,2,3,0.012,0.001,0.024,0.036,True
circle_locus,0.0,2,4,0.021,0.001,0.01,0.033,True
circle_locus,0.0,2,5,0.021,0.002,0.024,0.047,True
circle_locus,0.0,2,6,0.021,0.002,0.023,0.046,True
circle_locus,0.0,2,7,0.021,0.002,0.02,0.043,True
circle_locus,0.0,2,8,0.021,0.001,0.013,0.035,True
circle_locus,0.0,2,9,0.021,0.002,0.02,0.043,True
circle_locus,0.0,2,10,0.011,0.001,0.016,0.028,True
circle_locus,0.0,2,11,0.021,0.002,0.022,0.046,True
circle_locus,0.0,2,12,0.022,0.002,0.021,0.045,True
circle_locus,0.0,2,13,0.021,0.002,0.019,0.042,True
circle_locus,0.0,2,14,0.013,0.002,0.02,0.035,True
circle_locus,0.0,2,15,0.021,0.002,0.019,0.042,True
circle_locus,0.0,2,16,0.011,0.001,0.01,0.022,True
circle_locus,0.0,2,17,0.021,0.002,0.021,0.045,True
circle_locus,0.0,2,18,0.015,0.001,0.021,0.037,True
circle_locus,0.0,2,19,0.021,0.002,0.02,0.043,True
circle_locus,0.0,2,20,0.011,0.001,0.016,0.028,True
circle_locus,0.0,2,21,0.012,0.001,0.01,0.023,True
circle_locus,0.0,2,22,0.016,0.002,0.019,0.036,True
circle_locus,0.0,2,23,0.011,0.001,0.01,0.022,True
circle_locus,0.0,2,24,0.016,0.001,0.011,0.028,True
circle_locus,0.0,2,25,0.021,0.002,0.021,0.044,True
circle_locus,0.0,2,26,0.021,0.002,0.018,0.042,True
circle_locus,0.0,2,27,0.021,0.002,0.024,0.046,True
circle_locus,0.0,2,28,0.017,0.001,0.013,0.031,True
circle_locus,0.0,2,29,0.019,0.002,0.011,0.031,True
circle_locus,0.02,2,0,0.021,0.003,0.026,0.05,True
circle_locus,0.02,2,1,0.044,0.001,0.024,0.069,True
circle_locus,0.02,2,2,0.021,0.003,0.022,0.045,True
circle_locus,0.02,2,3,0.032,0.001,0.026,0.059,True
circle_locus,0.02,2,4,0.048,0.003,0.02,0.07,True
circle_locus,0.02,2,5,0.019,0.003,0.029,0.051,True
circle_locus,0.02,2,6,0.021,0.002,0.012,0.035,True
circle_locus,0.02,2,7,0.053,0.003,0.029,0.086,True
circle_locus,0.02,2,8,0.045,0.003,0.025,0.073,True
circle_locus,0.02,2,9,0.064,0.003,0.025,0.092,True
circle_locus,0.02,2,10,0.019,0.002,0.022,0.043,True
circle_locus,0.02,2,11,0.058,0.003,0.026,0.087,True
circle_locus,0.02,2,12,0.06,0.003,0.024,0.087,True
circle_locus,0.02,2,13,0.052,0.003,0.027,0.082,True
circle_locus,0.02,2,14,0.059,0.002,0.012,0.074,True
circle_locus,0.02,2,15,0.021,0.003,0.028,0.051,True
circle_locus,0.02,2,16,0.053,0.003,0.025,0.081,True
circle_locus,0.02,2,17,0.06,0.003,0.024,0.086,True
circle_locus,0.02,2,18,0.051,0.003,0.028,0.082,True
circle_locus,0.02,2,19,0.016,0.001,0.012,0.03,True
circle_locus,0.02,2,20,0.053,0.003,0.029,0.085,True
circle_locus,0.02,2,21,0.058,0.003,0.02,0.081,True
circle_locus,0.02,2,22,0.037,0.001,0.013,0.052,True
circle_locus,0.02,2,23,0.05,0.003,0.028,0.082,True
circle_locus,0.02,2,24,0.043,0.003,0.025,0.071,True
circle_locus,0.02,2,25,0.021,0.003,0.015,0.039,True
circle_locus,0.02,2,26,0.021,0.003,0.022,0.047,True
circle_locus,0.02,2,27,0.059,0.001,0.013,0.074,True
circle_locus,0.02,2,28,0.059,0.003,0.023,0.085,True
circle_locus,0.02,2,29,0.02,0.001,0.018,0.039,True
circle_locus,0.05,2,0,0.064,0.102,0.025,0.191,True
circle_locus,0.05,2,1,0.058,0.079,0.024,0.161,True
circle_locus,0.05,2,2,0.06,0.108,0.025,0.193,True
circle_locus,0.05,2,3,0.063,0.111,0.02,0.194,True
circle_locus,0.05,2,4,0.075,0.094,0.024,0.193,True
circle_locus,0.05,2,5,0.069,0.087,0.028,0.184,True
circle_locus,0.05,2,6,0.055,0.116,0.023,0.194,True
circle_locus,0.05,2,7,0.075,0.102,0.027,0.205,True
circle_locus,0.05,2,8,0.073,0.088,0.025,0.186,True
circle_locus,0.05,2,9,0.054,0.119,0.024,0.197,True
circle_locus,0.05,2,10,0.057,0.073,0.028,0.158,True
circle_locus,0.05,2,11,0.067,0.097,0.016,0.181,True
circle_locus,0.05,2,12,0.056,0.07,0.024,0.15,True
circle_locus,0.05,2,13,0.064,0.087,0.027,0.178,True
circle_locus,0.05,2,14,0.072,0.081,0.016,0.169,True
circle_locus,0.05,2,15,0.071,0.094,0.02,0.185,True
circle_locus,0.05,2,16,0.053,0.101,0.025,0.179,True
circle_locus,0.05,2,17,0.054,0.083,0.024,0.162,True
circle_locus,0.05,2,18,0.066,0.104,0.026,0.197,True
circle_locus,0.05,2,19,0.076,0.106,0.023,0.205,True
circle_locus,0.05,2,20,0.057,0.099,0.027,0.183,True
circle_locus,0.05,2,21,0.071,0.105,0.021,0.197,True
circle_locus,0.05,2,22,0.066,0.104,0.023,0.193,True
circle_locus,0.05,2,23,0.073,0.104,0.028,0.205,True
circle_locus,0.05,2,24,0.075,0.089,0.023,0.188,True
circle_locus,0.05,2,25,0.063,0.107,0.02,0.189,True
circle_locus,0.05,2,26,0.078,0.106,0.024,0.209,True
circle_locus,0.05,2,27,0.061,0.107,0.027,0.195,True
circle_locus,0.05,2,28,0.06,0.103,0.022,0.184,True
circle_locus,0.05,2,29,0.063,0.072,0.026,0.161,True
newtons_second_law,0.0,2,0,0.023,0.002,0.03,0.054,True
newtons_second_law,0.0,2,1,0.017,0.002,0.023,0.042,True
newtons_second_law,0.0,2,2,0.012,0.001,0.021,0.034,True
newtons_second_law,0.0,2,3,0.009,0.001,0.01,0.02,True
newtons_second_law,0.0,2,4,0.009,0.001,0.013,0.024,True
newtons_second_law,0.0,2,5,0.017,0.002,0.023,0.043,True
newtons_second_law,0.0,2,6,0.017,0.002,0.022,0.042,True
newtons_second_law,0.0,2,7,0.009,0.001,0.014,0.025,True
newtons_second_law,0.0,2,8,0.017,0.002,0.022,0.041,True
newtons_second_law,0.0,2,9,0.017,0.002,0.02,0.039,True
newtons_second_law,0.0,2,10,0.017,0.002,0.016,0.034,True
newtons_second_law,0.0,2,11,0.01,0.001,0.01,0.021,True
newtons_second_law,0.0,2,12,0.016,0.002,0.024,0.042,True
newtons_second_law,0.0,2,13,0.017,0.002,0.023,0.043,True
newtons_second_law,0.0,2,14,0.011,0.001,0.013,0.024,True
newtons_second_law,0.0,2,15,0.018,0.002,0.021,0.04,True
newtons_second_law,0.0,2,16,0.017,0.002,0.021,0.041,True
