seed,srgb_exact,sindy_null_exact,sindy_st_exact,sindy_fd_state_exact,sindy_fd_transition_exact
0,True,False,False,True,True
1,True,False,False,True,True
2,True,False,False,True,True
3,True,False,False,True,True
4,True,False,False,True,True
5,True,False,False,True,True
6,True,False,False,True,True
7,True,False,False,True,True
8,True,False,False,True,True
9,True,False,False,True,True
10,True,False,False,True,True
11,True,False,False,True,True
12,True,False,False,True,True
13,True,False,False,True,True
14,True,False,False,True,True
15,True,False,False,True,True
16,True,False,False,True,True
17,True,False,False,True,True
18,True,False,False,True,True
19,True,False,False,True,True
20,True,False,False,True,True
21,True,False,False,True,True
22,True,False,False,True,True
23,True,False,False,True,True
24,True,False,False,True,True
25,True,False,False,True,True
26,True,False,False,True,True
27,True,False,False,True,True
28,True,False,False,True,True
29,True,False,False,True,True
