seed,sigma,N,M,d_null,mode,exact,sparsity,residual,poly
0,0.0,5000,35,5,L1 fallback,True,5,9.892325799527881e-15,w**2 + x**2 + y**2 + z**2 - 1
1,0.0,5000,35,5,L1 fallback,True,5,2.9577737392204e-14,-w**2 - x**2 - y**2 - z**2 + 1
2,0.0,5000,35,5,L1 fallback,True,5,1.0599110194149233e-14,-w**2 - x**2 - y**2 - z**2 + 1
3,0.0,5000,35,5,L1 fallback,True,5,9.847521072795897e-15,w**2 + x**2 + y**2 + z**2 - 1
4,0.0,5000,35,5,L1 fallback,True,5,4.968554789831604e-15,w**2 + x**2 + y**2 + z**2 - 1
5,0.0,5000,35,5,L1 fallback,True,5,1.4863898647743416e-14,-w**2 - x**2 - y**2 - z**2 + 1
6,0.0,5000,35,5,L1 fallback,True,5,1.5142847168265338e-14,-w**2 - x**2 - y**2 - z**2 + 1
7,0.0,5000,35,5,L1 fallback,True,5,1.0637144356176627e-14,-w**2 - x**2 - y**2 - z**2 + 1
8,0.0,5000,35,5,L1 fallback,True,5,2.1907225452109516e-14,-w**2 - x**2 - y**2 - z**2 + 1
9,0.0,5000,35,5,L1 fallback,True,5,2.0701435847047642e-14,-w**2 - x**2 - y**2 - z**2 + 1
10,0.0,5000,35,5,L1 fallback,True,5,1.0522658896170369e-14,w**2 + x**2 + y**2 + z**2 - 1
11,0.0,5000,35,5,L1 fallback,True,5,7.37779512515895e-15,w**2 + x**2 + y**2 + z**2 - 1
12,0.0,5000,35,5,L1 fallback,True,5,2.354045319888216e-14,-w**2 - x**2 - y**2 - z**2 + 1
13,0.0,5000,35,5,L1 fallback,True,5,2.147760372854529e-14,w**2 + x**2 + y**2 + z**2 - 1
14,0.0,5000,35,5,L1 fallback,True,5,2.8271470666592112e-14,-w**2 - x**2 - y**2 - z**2 + 1
15,0.0,5000,35,5,L1 fallback,True,5,8.040833170379274e-15,w**2 + x**2 + y**2 + z**2 - 1
16,0.0,5000,35,5,L1 fallback,True,5,1.0395950346857737e-14,w**2 + x**2 + y**2 + z**2 - 1
17,0.0,5000,35,5,L1 fallback,True,5,8.117166166330946e-15,w**2 + x**2 + y**2 + z**2 - 1
18,0.0,5000,35,5,L1 fallback,True,5,1.4918089223134644e-14,-w**2 - x**2 - y**2 - z**2 + 1
19,0.0,5000,35,5,L1 fallback,True,5,6.09772025944899e-15,w**2 + x**2 + y**2 + z**2 - 1
20,0.0,5000,35,5,L1 fallback,True,5,6.846530599615758e-15,w**2 + x**2 + y**2 + z**2 - 1
21,0.0,5000,35,5,L1 fallback,True,5,2.989402905890866e-14,-w**2 - x**2 - y**2 - z**2 + 1
22,0.0,5000,35,5,L1 fallback,True,5,1.3539110399970773e-14,-w**2 - x**2 - y**2 - z**2 + 1
23,0.0,5000,35,5,L1 fallback,True,5,9.938917096669225e-15,w**2 + x**2 + y**2 + z**2 - 1
24,0.0,5000,35,5,L1 fallback,True,5,1.727121296895339e-14,-w**2 - x**2 - y**2 - z**2 + 1
25,0.0,5000,35,5,L1 fallback,True,5,6.600258216780306e-15,w**2 + x**2 + y**2 + z**2 - 1
26,0.0,5000,35,5,L1 fallback,True,5,2.591356554875766e-14,-w**2 - x**2 - y**2 - z**2 + 1
27,0.0,5000,35,5,L1 fallback,True,5,2.3947534196105618e-14,-w**2 - x**2 - y**2 - z**2 + 1
28,0.0,5000,35,5,L1 fallback,True,5,1.5965214756874262e-14,w**2 + x**2 + y**2 + z**2 - 1
29,0.0,5000,35,5,L1 fallback,True,5,1.2899712802209082e-14,-w**2 - x**2 - y**2 - z**2 + 1
0,0.01,5000,35,5,L1 fallback,True,5,0.6197291992489916,w**2 + x**2 + y**2 + z**2 - 1
1,0.01,5000,35,5,L1 fallback,False,20,0.45282533325349156,w**3 + w*x**2 + w*y**2 + w*z**2 - w + y**3/16 + y**2*z/16 + y*z**2/16 - y/16
2,0.01,5000,35,5,L1 fallback,False,15,0.22728778662949173,w**2*x + w**2*y/4 - w**2*z/15 + x**3 + x**2*y/4 - x**2*z/16 + x*y**2 + x*z**2 - x + y**3/4 - y**2*z/16 + y*z**2/4 - y/4 - z**3/15 + z/15
3,0.01,5000,35,5,L1 fallback,False,15,0.21453370065573876,w**2*x - 2*w**2*y/5 + w**2*z/16 + x**3 - 2*x**2*y/5 + x*y**2 + x*z**2 - x - 2*y**3/5 + y**2*z/15 - 2*y*z**2/5 + 2*y/5 + z**3/16 - z/16
4,0.01,5000,35,5,L1 fallback,False,10,0.22351115037688857,w**2*y - w**2*z/9 + x**2*y - x**2*z/9 + y**3 - y**2*z/9 + y*z**2 - y - z**3/9 + z/9
5,0.01,5000,35,5,L1 fallback,False,15,0.32795648242285486,-w**3/16 - w**2*x/10 + w**2*z - w*x**2/16 - w*y**2/16 + w/16 - x**3/10 + x**2*z - x*y**2/10 - x*z**2/10 + x/10 + y**2*z + z**3 - z
6,0.01,5000,35,5,L1 fallback,False,10,0.31171370673678045,w**2*z + x**2*z + y**2*z + z**3 - z
7,0.01,5000,35,5,L1 fallback,False,5,0.3187796259086776,w**2*z + x**2*z + y**2*z + z**3 - z
8,0.01,5000,35,5,L1 fallback,False,10,0.443602375214753,w**3 + w*x**2 + w*y**2 + w*z**2 - w
9,0.01,5000,35,5,L1 fallback,False,10,0.4394659917358468,w**3 + w**2*z/9 + w*x**2 + w*y**2 + w*z**2 - w + x**2*z/9 + y**2*z/9 + z**3/9 - z/9
10,0.01,5000,35,5,L1 fallback,False,10,0.23176894146912422,w**2*x + 4*w**2*y/7 + x**3 + 3*x**2*y/5 + x*y**2 + x*z**2 - x + 3*y**3/5 + 3*y*z**2/5 - 3*y/5
11,0.01,5000,35,5,L1 fallback,False,10,0.31823818075690347,w**2*y/15 + w**2*z + x**2*y/14 + x**2*z + y**3/14 + y**2*z + y*z**2/16 - y/15 + z**3 - z
12,0.01,5000,35,5,L1 fallback,True,5,0.6201339392116197,w**2 + x**2 + y**2 + z**2 - 1
