Seed 0: stop=True, fixed=True
Seed 1: stop=True, fixed=True
Seed 2: stop=True, fixed=True
Seed 3: stop=True, fixed=True
Seed 4: stop=True, fixed=True
Seed 5: stop=True, fixed=True
Seed 6: stop=True, fixed=True
Seed 7: stop=True, fixed=True
Seed 8: stop=True, fixed=True
Seed 9: stop=True, fixed=True
Seed 10: stop=True, fixed=True
Seed 11: stop=True, fixed=True
Seed 12: stop=True, fixed=True
Seed 13: stop=True, fixed=True
Seed 14: stop=True, fixed=True
Seed 15: stop=True, fixed=True
Seed 16: stop=True, fixed=True
Seed 17: stop=True, fixed=True
Seed 18: stop=True, fixed=True
Seed 19: stop=True, fixed=True
Seed 20: stop=True, fixed=True
Seed 21: stop=True, fixed=True
Seed 22: stop=True, fixed=True
Seed 23: stop=True, fixed=True
Seed 24: stop=True, fixed=True
Seed 25: stop=True, fixed=True
Seed 26: stop=True, fixed=True
Seed 27: stop=True, fixed=True
Seed 28: stop=True, fixed=True
Seed 29: stop=True, fixed=True

With MDL stopping: 100% 95% CI [89%, 100%]
Fixed degree (2):   100% 95% CI [89%, 100%]
