sigma,seed,new_exact,orig_exact,new_time,orig_time
0.0,0,True,True,0.11265897750854492,0.005719423294067383
0.0,1,True,True,0.008775711059570312,0.004473686218261719
0.0,2,True,True,0.009542465209960938,0.004953622817993164
0.0,3,True,True,0.01561427116394043,0.008873462677001953
0.0,4,True,True,0.015476703643798828,0.008564949035644531
0.0,5,True,True,0.015313386917114258,0.008737802505493164
0.0,6,True,True,0.015380859375,0.005944728851318359
0.0,7,True,True,0.007970809936523438,0.005050182342529297
0.0,8,True,True,0.015001773834228516,0.009055376052856445
0.0,9,True,True,0.015107154846191406,0.008545398712158203
0.0,10,True,True,0.015156269073486328,0.008591890335083008
0.0,11,True,True,0.015259265899658203,0.008520126342773438
0.0,12,True,True,0.008188724517822266,0.00436854362487793
0.0,13,True,True,0.007950782775878906,0.005186796188354492
0.0,14,True,True,0.008076667785644531,0.004369020462036133
0.0,15,True,True,0.015082836151123047,0.008674144744873047
0.0,16,True,True,0.015151023864746094,0.008701324462890625
0.0,17,True,True,0.015062570571899414,0.008554935455322266
0.0,18,True,True,0.015120983123779297,0.008634090423583984
0.0,19,True,True,0.00861978530883789,0.0044708251953125
0.0,20,True,True,0.010429859161376953,0.00910329818725586
0.0,21,True,True,0.01605057716369629,0.006336212158203125
0.0,22,True,True,0.01529383659362793,0.008797407150268555
0.0,23,True,True,0.01523900032043457,0.008533239364624023
0.0,24,True,True,0.015327930450439453,0.008592605590820312
0.0,25,True,True,0.009196043014526367,0.0045011043548583984
0.0,26,True,True,0.015650510787963867,0.00856328010559082
0.0,27,True,True,0.015245199203491211,0.00877690315246582
0.0,28,True,True,0.015113353729248047,0.008744001388549805
0.0,29,True,True,0.010884284973144531,0.0044193267822265625
0.02,0,True,True,0.009050369262695312,0.008531808853149414
0.02,1,True,False,0.01538991928100586,0.013249397277832031
0.02,2,True,False,0.007996082305908203,0.008283376693725586
0.02,3,True,False,0.01583075523376465,0.007345438003540039
0.02,4,True,False,0.015373468399047852,0.016730785369873047
0.02,5,True,False,0.015814781188964844,0.010248422622680664
0.02,6,True,True,0.012753486633300781,0.00884699821472168
0.02,7,True,True,0.015209197998046875,0.009105920791625977
0.02,8,True,True,0.015198230743408203,0.008564949035644531
0.02,9,True,True,0.015218496322631836,0.006653308868408203
0.02,10,True,True,0.008084535598754883,0.007618904113769531
0.02,11,True,True,0.015755176544189453,0.008664131164550781
0.02,12,True,True,0.015451908111572266,0.008714914321899414
0.02,13,True,False,0.015343427658081055,0.006072044372558594
0.02,14,True,True,0.015636205673217773,0.008667230606079102
0.02,15,True,True,0.01539754867553711,0.006367683410644531
0.02,16,True,False,0.015548467636108398,0.009657144546508789
