system,degree,sigma,seed,s_min,s_second_min,gap_ratio,coeff_l2_error
circle_locus (deg 2),2,0.0,0,5.0617285649718665e-14,7.535531602242322,148872692510413.3,1.3638625719228325e-15
circle_locus (deg 2),2,0.0,1,5.141466573100965e-14,7.236452459018821,140746854153995.03,2.2791888475958108e-15
circle_locus (deg 2),2,0.0,2,5.2125798125747243e-14,7.248966017882684,139066763071817.56,1.4171628170559333e-15
circle_locus (deg 2),2,0.0,3,2.0580845532238503e-14,7.24105948068114,351834887897997.7,3.583163693105109e-15
circle_locus (deg 2),2,0.0,4,4.524814029745888e-14,7.169152289604433,158440816406482.25,1.330360174365723e-15
circle_locus (deg 2),2,0.0,5,3.656680443890128e-14,7.550339936143476,206480715282605.12,3.275713160546351e-15
circle_locus (deg 2),2,0.0,6,5.710162509549286e-14,7.40828839309421,129738661215072.16,1.5246127804129364e-15
circle_locus (deg 2),2,0.0,7,1.6716069890786084e-14,7.064622577041762,422624613512521.25,8.393612837095149e-16
circle_locus (deg 2),2,0.0,8,3.2368518015008634e-14,7.278032212955706,224849102130070.6,1.7805818925341233e-15
circle_locus (deg 2),2,0.0,9,4.5619438253880884e-14,7.151247095249143,156758771457269.78,1.88518670963643e-15
circle_locus (deg 2),2,0.005,0,0.9531134448147198,7.537557168289108,7.908352577855377,0.0024634399532656843
circle_locus (deg 2),2,0.005,1,0.9309111012786224,7.2376396815890285,7.774791461448903,0.007079877437752208
circle_locus (deg 2),2,0.005,2,0.9602904040775027,7.254274499036442,7.554250743560453,0.001840113991866221
circle_locus (deg 2),2,0.005,3,0.9638603910398303,7.241984605036346,7.513520290239917,0.0048084463132268855
circle_locus (deg 2),2,0.005,4,0.9509432962332548,7.1692505274104805,7.539093609270211,0.0034402187711628047
circle_locus (deg 2),2,0.005,5,0.9555787286567071,7.548876985749162,7.899795965907384,0.0026997017383787432
circle_locus (deg 2),2,0.005,6,0.964320266118413,7.407084132167837,7.681145354315606,0.0027809052902252247
circle_locus (deg 2),2,0.005,7,0.9593701015575445,7.06896710942068,7.368342100659755,0.0072973589166458255
circle_locus (deg 2),2,0.005,8,0.9567180023760105,7.2830090127707505,7.612492912941314,0.005691375984556377
circle_locus (deg 2),2,0.005,9,0.9493144180007019,7.151284807337162,7.533104598156303,0.0024942992063755587
circle_locus (deg 2),2,0.01,0,1.9059198406750841,7.543221512087218,3.9577852914398437,0.008967729328876711
circle_locus (deg 2),2,0.01,1,1.8606080037361952,7.242853815653105,3.89273495605151,0.022280418982064166
circle_locus (deg 2),2,0.01,2,1.9200216887157846,7.26322226740853,3.7828855320205106,0.011754710937095951
circle_locus (deg 2),2,0.01,3,1.926907620691436,7.246690552395271,3.7607877381246366,0.01784027210355629
circle_locus (deg 2),2,0.01,4,1.9010417112798348,7.1732344562365125,3.773317762400536,0.015455058509053678
circle_locus (deg 2),2,0.01,5,1.9111280656503928,7.550841982348288,3.950986916085393,0.007318041006443747
circle_locus (deg 2),2,0.01,6,1.9279421732088533,7.409563245390196,3.84324973453834,0.013744581211501131
circle_locus (deg 2),2,0.01,7,1.9176624052284477,7.077153880197495,3.6905108328253466,0.022646035083640246
circle_locus (deg 2),2,0.01,8,1.912297447442443,7.29192433362453,3.8131747461028835,0.020061896318109135
circle_locus (deg 2),2,0.01,9,1.8981942691493958,7.155047097249914,3.769396638446379,0.013147601927179287
circle_locus (deg 2),2,0.02,0,3.8062704405238454,7.568024653864879,1.988304502299977,0.05807593861341699
circle_locus (deg 2),2,0.02,1,3.709998397078638,7.270473748178983,1.9596972747761745,0.09613520248830615
circle_locus (deg 2),2,0.02,2,3.8327216489980245,7.295490583772209,1.9034751938428518,0.07204117427100669
circle_locus (deg 2),2,0.02,3,3.844654783146294,7.271971743690011,1.8914498580127275,0.08791183399955578
circle_locus (deg 2),2,0.02,4,3.793088136216999,7.197006303305604,1.8974002303261719,0.08247235883715544
circle_locus (deg 2),2,0.02,5,3.8179398264834288,7.567341128461691,1.9820482963011246,0.05334718959161734
circle_locus (deg 2),2,0.02,6,3.847708264327036,7.429387335421361,1.9308603524598973,0.07634972349191811
circle_locus (deg 2),2,0.02,7,3.8242649271042644,7.110421802403857,1.8592911155315468,0.10105690026383948
circle_locus (deg 2),2,0.02,8,3.813887937307454,7.326457170832922,1.9209943478321723,0.09280088034162014
circle_locus (deg 2),2,0.02,9,3.7893447437918915,7.177448111700214,1.894113256245443,0.07641695677334286
circle_locus (deg 2),2,0.05,0,7.5080891833004655,9.692465693754128,1.290936409667611,13.453557087784272
circle_locus (deg 2),2,0.05,1,7.130847215923927,9.528113600637843,1.3361825477568177,10.593987162786377
circle_locus (deg 2),2,0.05,2,7.257658987274136,9.753830627589787,1.343936198255186,17.112450559762532
circle_locus (deg 2),2,0.05,3,7.1852222218826425,9.809772009031983,1.3652705102364484,15.750035211806201
circle_locus (deg 2),2,0.05,4,7.119040864883749,9.668245448125393,1.3580825888802188,16.148492948241056
circle_locus (deg 2),2,0.05,5,7.493723782096472,9.712368387921266,1.2960670382761423,14.777905541884293
circle_locus (deg 2),2,0.05,6,7.330058120532166,9.812747533343186,1.3386998263842929,14.712329243824403
circle_locus (deg 2),2,0.05,7,7.0319483120638075,9.765694819607305,1.3887608933150946,16.211310970425867
circle_locus (deg 2),2,0.05,8,7.238573031336324,9.757443302767566,1.3479788434166324,13.066589810916781
circle_locus (deg 2),2,0.05,9,7.109074723461633,9.651763835408437,1.3576680807075112,17.35270072996162
I.12.2 (deg 3),3,0.0,0,1.7295775632145697e-12,0.14707085342932114,85032817583.4897,6.841919022427263e-13
I.12.2 (deg 3),3,0.0,1,1.2602479849152929e-12,0.1465263230137233,116267849476.92021,4.331610994289352e-15
I.12.2 (deg 3),3,0.0,2,1.7055270334635373e-12,0.1469078829936496,86136355572.92406,2.381927110339837e-13
I.12.2 (deg 3),3,0.0,3,1.3055010860835502e-12,0.14671247933213838,112380204732.16902,2.619550800813493e-13
I.12.2 (deg 3),3,0.0,4,1.6933640609504042e-12,0.1482233783042183,87531902750.45026,3.958399907899947e-15
I.12.2 (deg 3),3,0.0,5,1.4247620463684338e-12,0.14640669719947313,102758701056.53653,6.568166893178501e-15
I.12.2 (deg 3),3,0.0,6,1.939565698265895e-12,0.14718150980030154,75883745485.85384,1.9523947278517143e-12
I.12.2 (deg 3),3,0.0,7,1.671211507286705e-12,0.1461378770253494,87444274042.01608,1.10975396880365e-14
I.12.2 (deg 3),3,0.0,8,1.452667921844186e-12,0.1503927022881757,103528617949.55153,1.6726680682763152e-14
I.12.2 (deg 3),3,0.0,9,1.1822649494717164e-12,0.14627137015667036,123721311557.1347,2.595093610744146e-15
I.12.2 (deg 3),3,0.005,0,0.14750957242053725,0.7159569123286925,4.8536301785728195,58901.5265530665
I.12.2 (deg 3),3,0.005,1,0.14658594877208872,0.7101078385597482,4.8443104165722,2673.542637683305
I.12.2 (deg 3),3,0.005,2,0.14711115627511392,0.692961556383187,4.710462305708979,2295.626093353095
I.12.2 (deg 3),3,0.005,3,0.14700362691713834,0.7134377623128828,4.8531983684662885,1760.0452775019544
I.12.2 (deg 3),3,0.005,4,0.1488123781055942,0.7278440488086545,4.891018194012002,572.7993393956007
I.12.2 (deg 3),3,0.005,5,0.1465724645387425,0.6990289295431518,4.769169514498968,9820.239816993102
I.12.2 (deg 3),3,0.005,6,0.14750012877063373,0.7029368567476338,4.765669444538029,1653.98238706676
I.12.2 (deg 3),3,0.005,7,0.1462783102905987,0.7081140861038939,4.840868647560556,863.8795232484231
I.12.2 (deg 3),3,0.005,8,0.15108015770406671,0.7067986445124255,4.6783022685010085,2345.102682005732
I.12.2 (deg 3),3,0.005,9,0.1465266690336591,0.704496287900757,4.807973132446797,635.7095986040537
I.12.2 (deg 3),3,0.01,0,0.1485547179754635,0.7181971080449286,4.834562764701636,16433.47407160175
I.12.2 (deg 3),3,0.01,1,0.14724358700808043,0.711261123328129,4.830506630411662,4191.933195557576
I.12.2 (deg 3),3,0.01,2,0.147907482363667,0.6938088695844525,4.6908300952520605,4296.638932623835
I.12.2 (deg 3),3,0.01,3,0.14795329036805144,0.7144392604795825,4.828816302106764,15719.941145970934
I.12.2 (deg 3),3,0.01,4,0.15002397536302836,0.729987439067249,4.865805197474762,923.0959873774943
I.12.2 (deg 3),3,0.01,5,0.14733940468169596,0.6998943566407605,4.750218437170791,8231.719548777552
I.12.2 (deg 3),3,0.01,6,0.14843576256302798,0.7043843516854762,4.745381702649888,4033.998078062148
I.12.2 (deg 3),3,0.01,7,0.1470224271313866,0.7099143353279771,4.828612540136901,2251.6268404061584
I.12.2 (deg 3),3,0.01,8,0.15235108784091483,0.708706850077358,4.65180039158887,5080.788684998331
I.12.2 (deg 3),3,0.01,9,0.14738133553717664,0.7057993751797195,4.788933229619723,876.2778634277815
I.12.2 (deg 3),3,0.02,0,0.15243999086043658,0.725286001707625,4.757846006246788,6556.743361619856
I.12.2 (deg 3),3,0.02,1,0.15032200303700138,0.7167846950380481,4.768328525143543,4127.295538231343
I.12.2 (deg 3),3,0.02,2,0.15125460492954207,0.6984007949093823,4.61738533669579,8100.34411747928
I.12.2 (deg 3),3,0.02,3,0.1517087731230707,0.7192854669754825,4.741225257895774,6557.542139221068
I.12.2 (deg 3),3,0.02,4,0.15417036303820897,0.7369625099117609,4.780182749709911,1587.1156471810946
I.12.2 (deg 3),3,0.02,5,0.15065408941188677,0.7047075513499201,4.677652987057369,9139.075742215795
I.12.2 (deg 3),3,0.02,6,0.15208728811768726,0.7096687681426804,4.666193847795674,9643.481392554277
I.12.2 (deg 3),3,0.02,7,0.1502090503228887,0.7161027528230774,4.767374211365735,43548.070006633956
I.12.2 (deg 3),3,0.02,8,0.1566443937267443,0.7154142467520598,4.567123212848921,20918.125549004366
I.12.2 (deg 3),3,0.02,9,0.15081497565887883,0.7112017547390795,4.715723698074339,1170.5808247294299
I.12.2 (deg 3),3,0.05,0,0.1775910097354393,0.7662724079758307,4.31481531141335,5421.027846739114
I.12.2 (deg 3),3,0.05,1,0.17265515650513977,0.7557001631869039,4.376933643243997,2562.1728724041227
I.12.2 (deg 3),3,0.05,2,0.1743517925260465,0.7342195489128929,4.211138516417647,24668.182498052563
I.12.2 (deg 3),3,0.05,3,0.17644681163160314,0.7550235001823339,4.279043033992135,6409.53467911176
I.12.2 (deg 3),3,0.05,4,0.17939405551461302,0.7782660526323445,4.338304579824546,11660.89264368536
I.12.2 (deg 3),3,0.05,5,0.1739383203986392,0.7416049191129936,4.263608602252523,224211.8693411951
