system,degree,sigma,mean_coeff_l2_error,std_coeff_l2_error,mean_gap_ratio
I.12.2 (deg 3),3,0.0,3.182011912986685e-13,6.140292453145071e-13,98068578020.70459
I.12.2 (deg 3),3,0.005,8152.245390891852,18032.270633875833,4.801460247087765
I.12.2 (deg 3),3,0.01,6203.9494348803555,5625.909281885577,4.781546729111306
I.12.2 (deg 3),3,0.02,11134.837431887045,12663.189660831082,4.705903583283384
I.12.2 (deg 3),3,0.05,31584.90072635018,68202.04689423025,4.283169066603428
circle_locus (deg 2),2,0.0,1.9279193930884765e-15,8.810997397178258e-16,207941387763824.47
circle_locus (deg 2),2,0.005,0.004059573760345553,0.002017166616267427,7.638488961435522
circle_locus (deg 2),2,0.01,0.015321634540752036,0.005325713545992203,3.823483014803538
circle_locus (deg 2),2,0.02,0.07966081586717791,0.01569041447281638,1.9227634427628086
circle_locus (deg 2),2,0.05,14.917935926739341,2.0804314799032806,1.3423582936895957
