sigma,seed,srgb_exact,srgb_red,null_exact,null_red,st_exact,st_red
0.0,0,True,1,True,1,True,12
0.0,1,True,1,True,1,True,12
0.0,2,True,1,True,1,True,12
0.0,3,True,1,True,1,True,12
0.0,4,True,1,True,1,True,12
0.0,5,True,1,True,1,True,12
0.0,6,True,1,True,1,True,12
0.0,7,True,1,True,1,True,12
0.0,8,True,1,True,1,True,12
0.0,9,True,1,True,1,True,12
0.0,10,True,1,True,1,True,12
0.0,11,True,1,True,1,True,12
0.0,12,True,1,True,1,True,12
0.0,13,True,1,True,1,True,12
0.0,14,True,1,True,1,True,12
0.0,15,True,1,True,1,True,12
0.0,16,True,1,True,1,True,12
0.0,17,True,1,True,1,True,12
0.0,18,True,1,True,1,True,12
0.0,19,True,1,True,1,True,12
0.0,20,True,1,True,1,True,12
0.0,21,True,1,True,1,True,12
0.0,22,True,1,True,1,True,12
0.0,23,True,1,True,1,True,12
0.0,24,True,1,True,1,True,12
0.0,25,True,1,True,1,True,12
0.0,26,True,1,True,1,True,12
0.0,27,True,1,True,1,True,12
0.0,28,True,1,True,1,True,12
0.0,29,True,1,True,1,True,12
0.01,0,True,1,True,1,True,12
0.01,1,True,1,True,1,True,12
0.01,2,True,1,True,1,True,12
0.01,3,True,1,True,1,True,12
0.01,4,True,1,True,1,True,12
0.01,5,True,1,True,1,True,12
0.01,6,True,1,True,1,True,12
0.01,7,True,1,True,1,True,12
0.01,8,True,1,True,1,True,12
0.01,9,True,1,True,1,True,12
0.01,10,True,1,True,1,True,12
0.01,11,True,1,True,1,True,12
0.01,12,True,1,True,1,True,12
0.01,13,True,1,True,1,True,12
0.01,14,True,1,True,1,True,12
0.01,15,True,1,True,1,True,12
0.01,16,True,1,True,1,True,12
0.01,17,True,1,True,1,True,12
0.01,18,True,1,True,1,True,12
0.01,19,True,1,True,1,True,12
0.01,20,True,1,True,1,True,12
0.01,21,True,1,True,1,True,12
0.01,22,True,1,True,1,True,12
0.01,23,True,1,True,1,True,12
0.01,24,True,1,True,1,True,12
0.01,25,True,1,True,1,True,12
0.01,26,True,1,True,1,True,12
0.01,27,True,1,True,1,True,12
0.01,28,True,1,True,1,True,12
0.01,29,True,1,True,1,True,12
0.02,0,True,1,True,1,True,12
0.02,1,True,1,True,1,True,12
0.02,2,True,1,True,1,True,12
0.02,3,True,1,True,1,True,12
0.02,4,True,1,True,1,True,12
0.02,5,True,1,True,1,True,12
0.02,6,True,1,True,1,True,12
0.02,7,True,1,True,1,True,12
0.02,8,True,1,True,1,True,12
0.02,9,True,1,True,1,True,12
0.02,10,True,1,True,1,True,12
0.02,11,True,1,True,1,True,12
0.02,12,True,1,True,1,True,12
0.02,13,True,1,True,1,True,12
0.02,14,True,1,True,1,True,12
0.02,15,True,1,True,1,True,12
0.02,16,True,1,True,1,True,12
0.02,17,True,1,True,1,True,12
0.02,18,True,1,True,1,True,12
0.02,19,True,1,True,1,True,12
0.02,20,True,1,True,1,True,12
0.02,21,True,1,True,1,True,12
0.02,22,True,1,True,1,True,12
0.02,23,True,1,True,1,True,12
0.02,24,True,1,True,1,True,12
0.02,25,True,1,True,1,True,12
0.02,26,True,1,True,1,True,12
0.02,27,True,1,True,1,True,12
0.02,28,True,1,True,1,True,12
0.02,29,True,1,True,1,True,12
0.05,0,True,1,True,1,True,12
0.05,1,True,1,True,1,True,12
0.05,2,True,1,True,1,True,12
0.05,3,True,1,True,1,True,12
0.05,4,True,1,True,1,True,12
0.05,5,True,1,True,1,True,12
0.05,6,True,1,True,1,True,12
0.05,7,True,1,True,1,True,13
0.05,8,True,1,True,1,True,12
0.05,9,True,1,True,1,True,12
0.05,10,True,1,True,1,True,14
0.05,11,True,1,True,1,True,12
0.05,12,True,1,True,1,True,12
0.05,13,True,1,True,1,True,12
0.05,14,True,1,True,1,True,12
0.05,15,True,1,True,1,True,12
0.05,16,True,1,True,1,True,12
0.05,17,True,1,True,1,True,12
0.05,18,True,1,True,1,True,12
0.05,19,True,1,True,1,True,12
0.05,20,True,1,True,1,True,14
0.05,21,True,1,True,1,True,12
0.05,22,True,1,True,1,True,13
0.05,23,True,1,True,1,True,12
0.05,24,True,1,True,1,True,13
0.05,25,True,1,True,1,True,12
0.05,26,True,1,True,1,True,12
0.05,27,True,1,True,1,True,12
0.05,28,True,1,True,1,True,12
0.05,29,True,1,True,1,True,12
