seed,csnp_exact,omp_exact,problem
0,True,False,harmonic_oscillator
1,True,False,harmonic_oscillator
2,True,False,harmonic_oscillator
3,True,False,harmonic_oscillator
4,True,False,harmonic_oscillator
5,True,False,harmonic_oscillator
6,True,False,harmonic_oscillator
7,True,False,harmonic_oscillator
8,True,False,harmonic_oscillator
9,True,False,harmonic_oscillator
10,True,False,harmonic_oscillator
11,True,False,harmonic_oscillator
12,True,False,harmonic_oscillator
13,True,False,harmonic_oscillator
14,True,False,harmonic_oscillator
15,True,False,harmonic_oscillator
16,True,False,harmonic_oscillator
17,True,False,harmonic_oscillator
18,True,False,harmonic_oscillator
19,True,False,harmonic_oscillator
20,True,False,harmonic_oscillator
21,True,False,harmonic_oscillator
22,True,False,harmonic_oscillator
23,True,False,harmonic_oscillator
24,True,False,harmonic_oscillator
25,True,False,harmonic_oscillator
26,True,False,harmonic_oscillator
27,True,False,harmonic_oscillator
28,True,False,harmonic_oscillator
29,True,False,harmonic_oscillator
0,True,True,kepler
1,True,True,kepler
2,True,True,kepler
3,True,True,kepler
4,True,True,kepler
5,True,True,kepler
6,True,True,kepler
7,True,True,kepler
8,True,True,kepler
9,True,True,kepler
10,True,True,kepler
11,True,True,kepler
12,True,True,kepler
13,True,True,kepler
14,True,True,kepler
15,True,True,kepler
16,True,True,kepler
17,True,True,kepler
18,True,True,kepler
19,True,True,kepler
20,True,True,kepler
21,True,True,kepler
22,True,True,kepler
23,True,True,kepler
24,True,True,kepler
25,True,True,kepler
26,True,True,kepler
27,True,True,kepler
28,True,True,kepler
29,True,True,kepler
