experiment,seed,exact,expression,note
circle,0,False,x*(-x*x**2 + x)**4,ok
circle,1,False,(0.87701166 - x**2)*x*(-0.1455874),ok
circle,2,False,(0.8410515 - x**2)*0.037586056,ok
circle,3,False,(x**2 - 1*0.87510306)*(x*(-x - 0.2577798) + x + (x**2 - 1*0.6188334)**2)*0.13496166*(0.8760598 - x**2),ok
circle,4,False,(0.9427649 - x**2)*x*0.054602392,ok
circle,5,False,x*0.014108913 - 1*0.009144894,ok
circle,6,False,x**2*0.04566797 - 1*0.038228694,ok
circle,7,False,x**2*(x**2 - 1*0.8616921)**4,ok
circle,8,False,(x**2 - 1*0.731878)**2*(-0.12374689),ok
circle,9,False,x**2*(1.0750026 - x**2)**32,ok
circle,10,False,(x + 0.98097456)**16*(x + 1.7850697)**16*((x - 1*0.36422655)**2 - 1*0.2776106)**16,ok
circle,11,False,3.24620715112782*(x**2 - 0.64618284)**8,ok
circle,12,False,10.2178847503082*(x + 1.024633)**32*(x**4 - 1.0698097*x)**32,ok
circle,13,False,(x**2 - 0.6332486)**4,ok
circle,14,False,0.02894554392921*x**2 - 0.01975094,ok
circle,15,False,x**4*(x**2 - 1.0716048)**4,ok
circle,16,False,(((x**4 - 0.6514651)**2 + 0.27399063)**2 - 1*0.21616784)**2,ok
circle,17,False,0.0023078704 - x*(x**2 - 1*0.7710077)**4,ok
circle,18,False,(x**2 - 1.003287)*(-0.05235405),ok
circle,19,False,(x + x)*((-x*((-x - 0.008911885)*x*0.3050072 + x - (x - 1*(-1.2101979))) + x*(-1.8043855))**2 - 0.08661312),ok
circle,20,False,(0.7350771 - x**2)**8*(-1.7146459),ok
circle,21,False,24236765739.1463*x**16*(x*(x - 1*0.16923851) - 1*0.79546064)**32,ok
circle,22,False,(0.51606846 - (x + x)**2)*(x**2 - 1*0.8024367)**4,ok
circle,23,False,(x*x*(-0.8109535)*(x - 1*0.94204414)*(x - 1*(-0.9158329))*3.3612583 + 0.33111742)**16,ok
circle,24,False,21.6038400992023*(x*x - 0.8920354)**32*(x + x - 0.046520203)**64,ok
circle,25,False,x**4*(x**2 - 1.0862538)**4,ok
circle,26,False,(x**2 - 0.7793781)**8,ok
circle,27,False,0.030802371 - (0.5700555 - x**2)**4,ok
circle,28,False,x*((0.44804543 - (x*x - 1*0.238472683733222))**4*(-1.4149145) - 1*(-0.013746803)),ok
circle,29,False,x**4*(x**2 - 1*0.92457706)**2,ok
fma,0,True,a*m,ok
fma,1,True,a*m,ok
fma,2,True,a*m,ok
fma,3,True,a*m,ok
fma,4,True,a*m,ok
fma,5,True,a*m,ok
fma,6,True,a*m,ok
fma,7,True,a*m,ok
fma,8,True,a*m,ok
fma,9,True,a*m,ok
fma,10,True,a*m,ok
fma,11,True,a*m,ok
fma,12,True,a*m,ok
fma,13,True,a*m,ok
fma,14,True,a*m,ok
fma,15,True,a*m,ok
fma,16,True,a*m,ok
fma,17,True,a*m,ok
fma,18,True,a*m,ok
fma,19,True,a*m,ok
fma,20,True,a*m,ok
fma,21,True,a*m,ok
fma,22,True,a*m,ok
fma,23,True,a*m,ok
fma,24,True,a*m,ok
fma,25,True,a*m,ok
fma,26,True,a*m,ok
fma,27,True,a*m,ok
fma,28,True,a*m,ok
fma,29,True,a*m,ok
