experiment,seed,exact,expression,note
fma,0,True,a*m,ok
fma,1,True,a*m,ok
fma,2,True,a*m,ok
fma,3,True,a*m,ok
fma,4,True,a*m,ok
fma,5,True,a*m,ok
fma,6,True,a*m,ok
fma,7,True,a*m,ok
fma,8,True,a*m,ok
fma,9,True,a*m,ok
fma,10,True,a*m,ok
fma,11,True,a*m,ok
fma,12,True,a*m,ok
fma,13,True,a*m,ok
fma,14,True,a*m,ok
fma,15,True,a*m,ok
fma,16,True,a*m,ok
fma,17,True,a*m,ok
fma,18,True,a*m,ok
fma,19,True,a*m,ok
fma,20,True,a*m,ok
fma,21,True,a*m,ok
fma,22,True,a*m,ok
fma,23,True,a*m,ok
fma,24,True,a*m,ok
fma,25,True,a*m,ok
fma,26,True,a*m,ok
fma,27,True,a*m,ok
fma,28,True,a*m,ok
fma,29,True,a*m,ok
