problem,seed,null_red,null_rec,null_fdr,st_red,st_rec,st_fdr,ad_red,ad_rec,ad_fdr,dense_red,dense_rec,dense_fdr,srgb_red,srgb_rec,srgb_fdr
Circle,0,1,2.97761815204467e-17,0.0,4,2.97761815204467e-17,0.75,,,,1,2.97761815204467e-17,0.0,1,2.97761815204467e-17,0.0
Circle,1,1,3.073097332162433e-17,0.0,4,3.073097332162433e-17,0.75,,,,1,3.073097332162433e-17,0.0,1,3.073097332162433e-17,0.0
Circle,2,1,2.9531932455029166e-17,0.0,4,2.9531932455029166e-17,0.75,,,,1,2.9531932455029166e-17,0.0,1,2.9531932455029166e-17,0.0
Circle,3,1,2.9021229863701594e-17,0.0,4,2.9021229863701594e-17,0.75,,,,1,2.9021229863701594e-17,0.0,1,2.9021229863701594e-17,0.0
Circle,4,1,3.126388037344441e-17,0.0,4,3.126388037344441e-17,0.75,,,,1,3.126388037344441e-17,0.0,1,3.126388037344441e-17,0.0
Circle,5,1,3.019806626980426e-17,0.0,4,3.019806626980426e-17,0.75,,,,1,3.019806626980426e-17,0.0,1,3.019806626980426e-17,0.0
Circle,6,1,3.024247519078926e-17,0.0,4,3.024247519078926e-17,0.75,,,,1,3.024247519078926e-17,0.0,1,3.024247519078926e-17,0.0
Circle,7,1,2.9531932455029166e-17,0.0,4,2.9531932455029166e-17,0.75,,,,1,2.9531932455029166e-17,0.0,1,2.9531932455029166e-17,0.0
Circle,8,1,2.948752353404416e-17,0.0,4,2.948752353404416e-17,0.75,,,,1,2.948752353404416e-17,0.0,1,2.948752353404416e-17,0.0
Circle,9,1,2.862154957483653e-17,0.0,4,2.862154957483653e-17,0.75,,,,1,2.862154957483653e-17,0.0,1,2.862154957483653e-17,0.0
Circle,10,1,3.101963130802687e-17,0.0,4,3.101963130802687e-17,0.75,,,,1,3.101963130802687e-17,0.0,1,3.101963130802687e-17,0.0
Circle,11,1,3.099742684753437e-17,0.0,4,3.099742684753437e-17,0.75,,,,1,3.099742684753437e-17,0.0,1,3.099742684753437e-17,0.0
Circle,12,1,2.873257187729905e-17,0.0,4,2.873257187729905e-17,0.75,,,,1,2.873257187729905e-17,0.0,1,2.873257187729905e-17,0.0
Circle,13,1,3.057554209817681e-17,0.0,4,3.057554209817681e-17,0.75,,,,1,3.057554209817681e-17,0.0,1,3.057554209817681e-17,0.0
Circle,14,1,3.04867242562068e-17,0.0,4,3.04867242562068e-17,0.75,,,,1,3.04867242562068e-17,0.0,1,3.04867242562068e-17,0.0
Circle,15,1,3.097522238704187e-17,0.0,4,3.097522238704187e-17,0.75,,,,1,3.097522238704187e-17,0.0,1,3.097522238704187e-17,0.0
Circle,16,1,2.9110047705671603e-17,0.0,4,2.9110047705671603e-17,0.75,,,,1,2.9110047705671603e-17,0.0,1,2.9110047705671603e-17,0.0
Circle,17,1,3.1663560662309466e-17,0.0,4,3.1663560662309466e-17,0.75,,,,1,3.1663560662309466e-17,0.0,1,3.1663560662309466e-17,0.0
Circle,18,1,3.104183576851938e-17,0.0,4,3.104183576851938e-17,0.75,,,,1,3.104183576851938e-17,0.0,1,3.104183576851938e-17,0.0
Circle,19,1,3.04867242562068e-17,0.0,4,3.04867242562068e-17,0.75,,,,1,3.04867242562068e-17,0.0,1,3.04867242562068e-17,0.0
Circle,20,1,3.026467965128177e-17,0.0,4,3.026467965128177e-17,0.75,,,,1,3.026467965128177e-17,0.0,1,3.026467965128177e-17,0.0
Circle,21,1,2.9021229863701594e-17,0.0,4,2.9021229863701594e-17,0.75,,,,1,2.9021229863701594e-17,0.0,1,2.9021229863701594e-17,0.0
Circle,22,1,2.9909408283401714e-17,0.0,4,2.9909408283401714e-17,0.75,,,,1,2.9909408283401714e-17,0.0,1,2.9909408283401714e-17,0.0
Circle,23,1,3.1086244689504386e-17,0.0,4,3.1086244689504386e-17,0.75,,,,1,3.1086244689504386e-17,0.0,1,3.1086244689504386e-17,0.0
Circle,24,1,3.0597746558669316e-17,0.0,4,3.0597746558669316e-17,0.75,,,,1,3.0597746558669316e-17,0.0,1,3.0597746558669316e-17,0.0
Circle,25,1,3.081979116359435e-17,0.0,4,3.081979116359435e-17,0.75,,,,1,3.081979116359435e-17,0.0,1,3.081979116359435e-17,0.0
Circle,26,1,2.986499936241671e-17,0.0,4,2.986499936241671e-17,0.75,,,,1,2.986499936241671e-17,0.0,1,2.986499936241671e-17,0.0
Circle,27,1,3.0131452888326746e-17,0.0,4,3.0131452888326746e-17,0.75,,,,1,3.0131452888326746e-17,0.0,1,3.0131452888326746e-17,0.0
Circle,28,1,3.04867242562068e-17,0.0,4,3.04867242562068e-17,0.75,,,,1,3.04867242562068e-17,0.0,1,3.04867242562068e-17,0.0
Circle,29,1,2.9332092310596635e-17,0.0,4,2.9332092310596635e-17,0.75,,,,1,2.9332092310596635e-17,0.0,1,2.9332092310596635e-17,0.0
Sphere,0,1,5.3956838996782606e-17,0.0,7,5.3956838996782606e-17,0.8571428571428571,,,,1,5.3956838996782606e-17,0.0,1,5.3956838996782606e-17,0.0
Sphere,1,1,5.662137425588298e-17,0.0,7,5.662137425588298e-17,0.8571428571428571,,,,1,5.662137425588298e-17,0.0,1,5.662137425588298e-17,0.0
Sphere,2,1,5.60218538225854e-17,0.0,7,5.60218538225854e-17,0.8571428571428571,,,,1,5.60218538225854e-17,0.0,1,5.60218538225854e-17,0.0
Sphere,3,1,5.759837051755313e-17,0.0,7,5.759837051755313e-17,0.8571428571428571,,,,1,5.759837051755313e-17,0.0,1,5.759837051755313e-17,0.0
Sphere,4,1,5.611067166455541e-17,0.0,7,5.611067166455541e-17,0.8571428571428571,,,,1,5.611067166455541e-17,0.0,1,5.611067166455541e-17,0.0
Sphere,5,1,5.553335569175033e-17,0.0,7,5.553335569175033e-17,0.8571428571428571,,,,1,5.553335569175033e-17,0.0,1,5.553335569175033e-17,0.0
Sphere,6,1,5.60440582830779e-17,0.0,7,5.60440582830779e-17,0.8571428571428571,,,,1,5.60440582830779e-17,0.0,1,5.60440582830779e-17,0.0
Sphere,7,1,5.593303598061539e-17,0.0,7,5.593303598061539e-17,0.8571428571428571,,,,1,5.593303598061539e-17,0.0,1,5.593303598061539e-17,0.0
Sphere,8,1,5.74207348336131e-17,0.0,7,5.74207348336131e-17,0.8571428571428571,,,,1,5.74207348336131e-17,0.0,1,5.74207348336131e-17,0.0
Sphere,9,1,5.3979043457275113e-17,0.0,7,5.3979043457275113e-17,0.8571428571428571,,,,1,5.3979043457275113e-17,0.0,1,5.3979043457275113e-17,0.0
Sphere,10,1,5.775380174100064e-17,0.0,7,5.775380174100064e-17,0.8571428571428571,,,,1,5.775380174100064e-17,0.0,1,5.775380174100064e-17,0.0
Sphere,11,1,5.719869022868806e-17,0.0,7,5.719869022868806e-17,0.8571428571428571,,,,1,5.719869022868806e-17,0.0,1,5.719869022868806e-17,0.0
Sphere,12,1,5.728750807065808e-17,0.0,7,5.728750807065808e-17,0.8571428571428571,,,,1,5.728750807065808e-17,0.0,1,5.728750807065808e-17,0.0
Sphere,13,1,5.537792446830281e-17,0.0,7,5.537792446830281e-17,0.8571428571428571,,,,1,5.537792446830281e-17,0.0,1,5.537792446830281e-17,0.0
Sphere,14,1,5.748734821509061e-17,0.0,7,5.748734821509061e-17,0.8571428571428571,,,,1,5.748734821509061e-17,0.0,1,5.748734821509061e-17,0.0
Sphere,15,1,5.568878691519786e-17,0.0,7,5.568878691519786e-17,0.8571428571428571,,,,1,5.568878691519786e-17,0.0,1,5.568878691519786e-17,0.0
Sphere,16,1,5.357936316841005e-17,0.0,7,5.357936316841005e-17,0.8571428571428571,,,,1,5.357936316841005e-17,0.0,1,5.357936316841005e-17,0.0
Sphere,17,1,5.646594303243547e-17,0.0,7,5.646594303243547e-17,0.8571428571428571,,,,1,5.646594303243547e-17,0.0,1,5.646594303243547e-17,0.0
Sphere,18,1,5.631051180898794e-17,0.0,7,5.631051180898794e-17,0.8571428571428571,,,,1,5.631051180898794e-17,0.0,1,5.631051180898794e-17,0.0
Sphere,19,1,5.695444116327053e-17,0.0,7,5.695444116327053e-17,0.8571428571428571,,,,1,5.695444116327053e-17,0.0,1,5.695444116327053e-17,0.0
Sphere,20,1,5.6710192097853e-17,0.0,7,5.6710192097853e-17,0.8571428571428571,,,,1,5.6710192097853e-17,0.0,1,5.6710192097853e-17,0.0
Sphere,21,1,5.626610288800294e-17,0.0,7,5.626610288800294e-17,0.8571428571428571,,,,1,5.626610288800294e-17,0.0,1,5.626610288800294e-17,0.0
Sphere,22,1,5.349054532644004e-17,0.0,7,5.349054532644004e-17,0.8571428571428571,,,,1,5.349054532644004e-17,0.0,1,5.349054532644004e-17,0.0
Sphere,23,1,5.6710192097853e-17,0.0,7,5.6710192097853e-17,0.8571428571428571,,,,1,5.6710192097853e-17,0.0,1,5.6710192097853e-17,0.0
Sphere,24,1,5.631051180898794e-17,0.0,7,5.631051180898794e-17,0.8571428571428571,,,,1,5.631051180898794e-17,0.0,1,5.631051180898794e-17,0.0
Sphere,25,1,5.5000448639930256e-17,0.0,7,5.5000448639930256e-17,0.8571428571428571,,,,1,5.5000448639930256e-17,0.0,1,5.5000448639930256e-17,0.0
Sphere,26,1,5.568878691519786e-17,0.0,7,5.568878691519786e-17,0.8571428571428571,,,,1,5.568878691519786e-17,0.0,1,5.568878691519786e-17,0.0
