benchmark,condition,seed,exact,elapsed_s
circle,baseline,0,True,0.018105030059814453
circle,baseline,1,True,0.013201236724853516
circle,baseline,2,True,0.013127326965332031
circle,baseline,3,True,0.013591766357421875
circle,baseline,4,True,0.012904644012451172
circle,baseline,5,True,0.012956380844116211
circle,baseline,6,True,0.013202190399169922
circle,baseline,7,True,0.012468099594116211
circle,baseline,8,True,0.012717723846435547
circle,baseline,9,True,0.011748313903808594
circle,baseline,10,True,0.012850522994995117
circle,baseline,11,True,0.012742280960083008
circle,baseline,12,True,0.012792348861694336
circle,baseline,13,True,0.012759685516357422
circle,baseline,14,True,0.012923240661621094
circle,baseline,15,True,0.013100862503051758
circle,baseline,16,True,0.013060808181762695
circle,baseline,17,True,0.013032674789428711
circle,baseline,18,True,0.012642860412597656
circle,baseline,19,True,0.012942075729370117
circle,baseline,20,True,0.013125181198120117
circle,baseline,21,True,0.012915611267089844
circle,baseline,22,True,0.012970685958862305
circle,baseline,23,True,0.012943267822265625
circle,baseline,24,True,0.012953519821166992
circle,baseline,25,True,0.01310420036315918
circle,baseline,26,True,0.012858867645263672
circle,baseline,27,True,0.012941122055053711
circle,baseline,28,True,0.012986421585083008
circle,baseline,29,True,0.012727737426757812
circle,rescaled,0,False,0.007030487060546875
circle,rescaled,1,False,0.008325576782226562
circle,rescaled,2,False,0.008265256881713867
circle,rescaled,3,False,0.009269952774047852
circle,rescaled,4,False,0.04180145263671875
circle,rescaled,5,False,0.03043198585510254
circle,rescaled,6,False,0.041849613189697266
circle,rescaled,7,False,0.050864219665527344
circle,rescaled,8,False,0.008311748504638672
circle,rescaled,9,False,0.04858255386352539
circle,rescaled,10,False,0.04132199287414551
circle,rescaled,11,False,0.04396176338195801
circle,rescaled,12,False,0.046387672424316406
circle,rescaled,13,False,0.04124140739440918
circle,rescaled,14,False,0.008301019668579102
circle,rescaled,15,False,0.043998003005981445
circle,rescaled,16,False,0.008411407470703125
circle,rescaled,17,False,0.007134437561035156
circle,rescaled,18,False,0.00863504409790039
circle,rescaled,19,False,0.008304119110107422
circle,rescaled,20,False,0.008281469345092773
circle,rescaled,21,False,0.008105993270874023
circle,rescaled,22,False,0.00853586196899414
circle,rescaled,23,False,0.04135465621948242
circle,rescaled,24,False,0.04221677780151367
circle,rescaled,25,False,0.04368472099304199
circle,rescaled,26,False,0.008306026458740234
circle,rescaled,27,False,0.008194208145141602
circle,rescaled,28,False,0.008349418640136719
circle,rescaled,29,False,0.029015064239501953
circle,standardized,0,False,0.008366584777832031
circle,standardized,1,False,0.008444786071777344
circle,standardized,2,False,0.008225202560424805
circle,standardized,3,False,0.008129358291625977
circle,standardized,4,False,0.007912397384643555
circle,standardized,5,False,0.00806570053100586
circle,standardized,6,False,0.008347272872924805
circle,standardized,7,False,0.007899284362792969
circle,standardized,8,False,0.00803518295288086
circle,standardized,9,False,0.007927894592285156
circle,standardized,10,False,0.007970333099365234
circle,standardized,11,False,0.008033275604248047
circle,standardized,12,False,0.008474588394165039
circle,standardized,13,False,0.00689697265625
circle,standardized,14,False,0.008184432983398438
circle,standardized,15,False,0.008164644241333008
circle,standardized,16,False,0.008163690567016602
circle,standardized,17,False,0.007910013198852539
circle,standardized,18,False,0.007996320724487305
circle,standardized,19,False,0.00873112678527832
circle,standardized,20,False,0.008339405059814453
circle,standardized,21,False,0.008649587631225586
circle,standardized,22,False,0.008263587951660156
circle,standardized,23,False,0.008237600326538086
circle,standardized,24,False,0.008390188217163086
circle,standardized,25,False,0.00805211067199707
circle,standardized,26,False,0.008485794067382812
circle,standardized,27,False,0.008245706558227539
circle,standardized,28,False,0.007831573486328125
circle,standardized,29,False,0.00831294059753418
oscillator_fixed_dt,baseline,0,True,0.1797199249267578
oscillator_fixed_dt,baseline,1,True,0.17990899085998535
oscillator_fixed_dt,baseline,2,True,0.19073009490966797
oscillator_fixed_dt,baseline,3,True,0.17876005172729492
oscillator_fixed_dt,baseline,4,True,0.175537109375
oscillator_fixed_dt,baseline,5,True,0.18582677841186523
oscillator_fixed_dt,baseline,6,True,0.17870831489562988
oscillator_fixed_dt,baseline,7,True,0.18398022651672363
oscillator_fixed_dt,baseline,8,True,0.16783595085144043
oscillator_fixed_dt,baseline,9,True,0.16464495658874512
oscillator_fixed_dt,baseline,10,True,0.17809677124023438
oscillator_fixed_dt,baseline,11,True,0.17260122299194336
oscillator_fixed_dt,baseline,12,True,0.1793673038482666
oscillator_fixed_dt,baseline,13,True,0.17758679389953613
oscillator_fixed_dt,baseline,14,True,0.17772126197814941
oscillator_fixed_dt,baseline,15,True,0.17490458488464355
oscillator_fixed_dt,baseline,16,True,0.17434048652648926
oscillator_fixed_dt,baseline,17,True,0.18332314491271973
oscillator_fixed_dt,baseline,18,True,0.18454384803771973
oscillator_fixed_dt,baseline,19,True,0.18193769454956055
oscillator_fixed_dt,baseline,20,True,0.1758742332458496
oscillator_fixed_dt,baseline,21,True,0.17839360237121582
oscillator_fixed_dt,baseline,22,True,0.17038583755493164
oscillator_fixed_dt,baseline,23,True,0.1816103458404541
oscillator_fixed_dt,baseline,24,True,0.17386984825134277
oscillator_fixed_dt,baseline,25,True,0.16706562042236328
oscillator_fixed_dt,baseline,26,True,0.177107572555542
oscillator_fixed_dt,baseline,27,True,0.1763458251953125
oscillator_fixed_dt,baseline,28,True,0.18119549751281738
oscillator_fixed_dt,baseline,29,True,0.17060041427612305
oscillator_fixed_dt,rescaled,0,False,0.15035390853881836
oscillator_fixed_dt,rescaled,1,False,0.17430377006530762
oscillator_fixed_dt,rescaled,2,False,0.19098758697509766
oscillator_fixed_dt,rescaled,3,False,0.14809966087341309
oscillator_fixed_dt,rescaled,4,False,0.17005014419555664
oscillator_fixed_dt,rescaled,5,False,0.17028188705444336
oscillator_fixed_dt,rescaled,6,False,0.1761627197265625
oscillator_fixed_dt,rescaled,7,False,0.1755516529083252
oscillator_fixed_dt,rescaled,8,False,0.16295552253723145
oscillator_fixed_dt,rescaled,9,False,0.1662912368774414
oscillator_fixed_dt,rescaled,10,False,0.17209100723266602
oscillator_fixed_dt,rescaled,11,False,0.17102932929992676
oscillator_fixed_dt,rescaled,12,False,0.180344820022583
oscillator_fixed_dt,rescaled,13,False,0.1763443946838379
oscillator_fixed_dt,rescaled,14,False,0.17081642150878906
oscillator_fixed_dt,rescaled,15,False,0.17448043823242188
oscillator_fixed_dt,rescaled,16,False,0.17157554626464844
oscillator_fixed_dt,rescaled,17,False,0.1611943244934082
oscillator_fixed_dt,rescaled,18,False,0.1687784194946289
oscillator_fixed_dt,rescaled,19,False,0.19718098640441895
oscillator_fixed_dt,rescaled,20,False,0.1740574836730957
oscillator_fixed_dt,rescaled,21,False,0.17595577239990234
oscillator_fixed_dt,rescaled,22,False,0.15239739418029785
oscillator_fixed_dt,rescaled,23,False,0.17931532859802246
oscillator_fixed_dt,rescaled,24,False,0.1537919044494629
oscillator_fixed_dt,rescaled,25,False,0.17309927940368652
oscillator_fixed_dt,rescaled,26,False,0.15250921249389648
oscillator_fixed_dt,rescaled,27,False,0.17311549186706543
oscillator_fixed_dt,rescaled,28,False,0.17627906799316406
oscillator_fixed_dt,rescaled,29,False,0.18918800354003906
oscillator_fixed_dt,standardized,0,False,0.17133021354675293
oscillator_fixed_dt,standardized,1,False,0.1545560359954834
oscillator_fixed_dt,standardized,2,False,0.1686558723449707
oscillator_fixed_dt,standardized,3,False,0.16406679153442383
oscillator_fixed_dt,standardized,4,False,0.15479254722595215
oscillator_fixed_dt,standardized,5,False,0.17275619506835938
oscillator_fixed_dt,standardized,6,False,0.1522352695465088
oscillator_fixed_dt,standardized,7,False,0.17881536483764648
oscillator_fixed_dt,standardized,8,False,0.15697526931762695
oscillator_fixed_dt,standardized,9,False,0.1567094326019287
oscillator_fixed_dt,standardized,10,False,0.14644670486450195
oscillator_fixed_dt,standardized,11,False,0.1450340747833252
oscillator_fixed_dt,standardized,12,False,0.16143465042114258
oscillator_fixed_dt,standardized,13,False,0.16812586784362793
oscillator_fixed_dt,standardized,14,False,0.17487883567810059
oscillator_fixed_dt,standardized,15,False,0.16869807243347168
oscillator_fixed_dt,standardized,16,False,0.16892457008361816
oscillator_fixed_dt,standardized,17,False,0.17160320281982422
oscillator_fixed_dt,standardized,18,False,0.15636873245239258
oscillator_fixed_dt,standardized,19,False,0.15972423553466797
oscillator_fixed_dt,standardized,20,False,0.15659451484680176
oscillator_fixed_dt,standardized,21,False,0.15399694442749023
oscillator_fixed_dt,standardized,22,False,0.14024066925048828
oscillator_fixed_dt,standardized,23,False,0.1712198257446289
oscillator_fixed_dt,standardized,24,False,0.14907145500183105
oscillator_fixed_dt,standardized,25,False,0.1376955509185791
oscillator_fixed_dt,standardized,26,False,0.16138815879821777
oscillator_fixed_dt,standardized,27,False,0.13054537773132324
