system,n_vortices,seed,sigma,degree,n_generators,P_recovered,Q_recovered,I_recovered,ideal_match,runtime_s,rref_n_generators,rref_ideal_match,rref_P_direct,rref_Q_direct,rref_I_direct,rref_all_direct
vortex3,3,0,0.0,2,3,True,True,True,True,4.288089990615845,14,True,True,True,False,False
vortex3,3,1,0.0,2,3,True,True,True,True,3.910398483276367,14,True,True,True,False,False
vortex3,3,2,0.0,2,3,True,True,True,True,3.9979472160339355,14,True,True,True,False,False
vortex3,3,3,0.0,2,3,True,True,True,True,4.041095495223999,14,True,True,True,False,False
vortex3,3,4,0.0,2,3,True,True,True,True,3.9598004817962646,14,True,True,True,False,False
vortex3,3,5,0.0,2,3,True,True,True,True,3.9456875324249268,14,True,True,True,False,False
vortex3,3,6,0.0,2,3,True,True,True,True,3.954756259918213,14,True,True,True,False,False
vortex3,3,7,0.0,2,3,True,True,True,True,4.047469139099121,14,True,True,True,False,False
vortex3,3,8,0.0,2,3,True,True,True,True,3.8801817893981934,14,True,True,True,False,False
vortex3,3,9,0.0,2,3,True,True,True,True,3.9058871269226074,14,True,True,True,False,False
vortex3,3,10,0.0,2,3,True,True,True,True,4.158458948135376,14,True,True,True,False,False
vortex3,3,11,0.0,2,3,True,True,True,True,4.019711256027222,14,True,True,True,False,False
vortex3,3,12,0.0,2,3,True,True,True,True,3.8612325191497803,14,True,True,True,False,False
vortex3,3,13,0.0,2,3,True,True,True,True,3.878546714782715,14,True,True,True,False,False
vortex3,3,14,0.0,2,3,True,True,True,True,4.0197954177856445,14,True,True,True,False,False
vortex3,3,15,0.0,2,3,True,True,True,True,3.9032065868377686,14,True,True,True,False,False
vortex3,3,16,0.0,2,3,True,True,True,True,4.926497936248779,14,True,True,True,False,False
vortex3,3,17,0.0,2,3,True,True,True,True,3.868839979171753,14,True,True,True,False,False
vortex3,3,18,0.0,2,3,True,True,True,True,4.229851722717285,14,True,True,True,False,False
vortex3,3,19,0.0,2,3,True,True,True,True,4.72840690612793,14,True,True,True,False,False
vortex3,3,20,0.0,2,3,True,True,True,True,4.286492586135864,14,True,True,True,False,False
vortex3,3,21,0.0,2,3,True,True,True,True,3.899419069290161,14,True,True,True,False,False
vortex3,3,22,0.0,2,3,True,True,True,True,4.156620979309082,14,True,True,True,False,False
vortex3,3,23,0.0,2,3,True,True,True,True,3.9753823280334473,14,True,True,True,False,False
vortex3,3,24,0.0,2,3,True,True,True,True,5.066479206085205,14,True,True,True,False,False
vortex3,3,25,0.0,2,3,True,True,True,True,4.528417587280273,14,True,True,True,False,False
vortex3,3,26,0.0,2,3,True,True,True,True,4.184250116348267,14,True,True,True,False,False
vortex3,3,27,0.0,2,3,True,True,True,True,4.323612213134766,14,True,True,True,False,False
vortex3,3,28,0.0,2,3,True,True,True,True,4.110306978225708,14,True,True,True,False,False
vortex3,3,29,0.0,2,3,True,True,True,True,4.099650859832764,14,True,True,True,False,False
vortex4,4,0,0.0,2,2,True,True,False,False,19.9461030960083,18,True,True,True,False,False
vortex4,4,1,0.0,2,2,True,True,False,False,19.582698345184326,18,True,True,True,False,False
vortex4,4,2,0.0,2,2,True,True,False,False,19.479814052581787,18,True,True,True,False,False
vortex4,4,3,0.0,2,2,True,True,False,False,19.635453462600708,18,True,True,True,False,False
vortex4,4,4,0.0,2,2,True,True,False,False,19.57723879814148,18,True,True,True,False,False
vortex4,4,5,0.0,2,2,True,True,False,False,19.713078498840332,18,True,True,True,False,False
vortex4,4,6,0.0,2,2,True,True,False,False,19.74710488319397,18,True,True,True,False,False
vortex4,4,7,0.0,2,2,True,True,False,False,23.16352677345276,18,True,True,True,False,False
vortex4,4,8,0.0,2,2,True,True,False,False,19.8121337890625,18,True,True,True,False,False
vortex4,4,9,0.0,2,2,True,True,False,False,19.790229082107544,18,True,True,True,False,False
vortex4,4,10,0.0,2,2,True,True,False,False,19.65938115119934,18,True,True,True,False,False
vortex4,4,11,0.0,2,2,True,True,False,False,19.793031930923462,18,True,True,True,False,False
vortex4,4,12,0.0,2,2,True,True,False,False,19.711654663085938,18,True,True,True,False,False
vortex4,4,13,0.0,2,2,True,True,False,False,19.634063005447388,18,True,True,True,False,False
vortex4,4,14,0.0,2,2,True,True,False,False,20.325980186462402,18,True,True,True,False,False
vortex4,4,15,0.0,2,2,True,True,False,False,19.829761266708374,18,True,True,True,False,False
vortex4,4,16,0.0,2,2,True,True,False,False,19.82247757911682,18,True,True,True,False,False
vortex4,4,17,0.0,2,2,True,True,False,False,19.995737552642822,18,True,True,True,False,False
vortex4,4,18,0.0,2,2,True,True,False,False,20.04681658744812,18,True,True,True,False,False
vortex4,4,19,0.0,2,2,True,True,False,False,19.621623992919922,18,True,True,True,False,False
vortex4,4,20,0.0,2,2,True,True,False,False,19.62812089920044,18,True,True,True,False,False
vortex4,4,21,0.0,2,2,True,True,False,False,19.766971111297607,18,True,True,True,False,False
vortex4,4,22,0.0,2,2,True,True,False,False,19.646578311920166,18,True,True,True,False,False
vortex4,4,23,0.0,2,2,True,True,False,False,19.927536964416504,18,True,True,True,False,False
vortex4,4,24,0.0,2,2,True,True,False,False,19.383776664733887,18,True,True,True,False,False
vortex4,4,25,0.0,2,2,True,True,False,False,19.574736833572388,18,True,True,True,False,False
vortex4,4,26,0.0,2,2,True,True,False,False,19.998733520507812,18,True,True,True,False,False
vortex4,4,27,0.0,2,2,True,True,False,False,19.527355909347534,18,True,True,True,False,False
vortex4,4,28,0.0,2,2,True,True,False,False,19.82894802093506,18,True,True,True,False,False
vortex4,4,29,0.0,2,2,True,True,False,False,19.482003211975098,18,True,True,True,False,False
vortex5,5,0,0.0,2,0,False,False,False,False,4.812293529510498,22,True,True,True,False,False
vortex5,5,1,0.0,2,0,False,False,False,False,4.81041145324707,22,True,True,True,False,False
vortex5,5,2,0.0,2,0,False,False,False,False,4.749351501464844,22,True,True,True,False,False
vortex5,5,3,0.0,2,0,False,False,False,False,4.868451118469238,22,True,True,True,False,False
vortex5,5,4,0.0,2,0,False,False,False,False,4.771374702453613,22,True,True,True,False,False
vortex5,5,5,0.0,2,0,False,False,False,False,4.861391544342041,22,True,True,True,False,False
vortex5,5,6,0.0,2,0,False,False,False,False,4.788190841674805,22,True,True,True,False,False
vortex5,5,7,0.0,2,0,False,False,False,False,4.851752042770386,22,True,True,True,False,False
vortex5,5,8,0.0,2,0,False,False,False,False,4.745473623275757,22,True,True,True,False,False
vortex5,5,9,0.0,2,0,False,False,False,False,4.79071831703186,22,True,True,True,False,False
vortex5,5,10,0.0,2,0,False,False,False,False,4.791630983352661,22,True,True,True,False,False
vortex5,5,11,0.0,2,0,False,False,False,False,4.920198678970337,22,True,True,True,False,False
vortex5,5,12,0.0,2,0,False,False,False,False,4.7370805740356445,22,True,True,True,False,False
vortex5,5,13,0.0,2,0,False,False,False,False,4.735821962356567,22,True,True,True,False,False
vortex5,5,14,0.0,2,0,False,False,False,False,4.750385522842407,22,True,True,True,False,False
vortex5,5,15,0.0,2,0,False,False,False,False,4.806069850921631,22,True,True,True,False,False
vortex5,5,16,0.0,2,0,False,False,False,False,4.831943035125732,22,True,True,True,False,False
